,0000 - cctns.txt,0000 - gamma j.txt,0000 - inventory.txt,1995 - gemini.txt,1995 - Landsat7.txt,1997 - Modis.txt,1998 - themas.txt,1999 - Defense.txt,1999 - multi-mahjong.txt,1999 - tcs.txt,2000 - Barrel.txt,2000 - nasa x38.txt,2001 - beyond.txt,2001 - ctc network.txt,2001 - elsfork.txt,2001 - esa.txt,2001 - hats.txt,2001 - npac.txt,2002 - evla back.txt,2002 - evla corr.txt,2003 - agentmom.txt,2003 - pnnl.txt,2003 - qheadache.txt,2003 - tachonet.txt,2004 - colorcast.txt,2004 - grid bgc.txt,2004 - rlcs.txt,2004 - SGVTraffic.txt,2004 - sprat.txt,2005 - clarus high.txt,2005 - clarus low.txt,2005 - grid 3D.txt,2005 - nenios.txt,2005 - phin.txt,2005 - pontis.txt,2005 - triangle.txt,2005 - znix.txt,2006 - eirene sys 15.txt,2006 - stewards.txt,2007 - e-store.txt,2007 - eirene fun 7.txt,2007 - ertms.txt,2007 - get real 0.2.txt,2007 - mdot.txt,2007 - nde.txt,2007 - puget sound.txt,2007 - Wildlife.txt,2008 - caiso.txt,2008 - virtual ed.txt,2009 - gaia.txt,2009 - library.txt,2009 - library2.txt,2009 - peppol.txt,2009 - video search.txt,2009 - warc III.txt,2010 - blit draft.txt,2010 - fishing.txt,2010 - home 1.3.txt,2010 - mashboot.txt,2010 - split merge.txt,2011 - CCHIT.txt,2011 - KMS.txt,2012 - EMR CCHCS EA.txt,2012 - EMR CCHCS ISO.txt,2012 - EMR CCHIT LT.txt,2012 - EMR HHS.txt,2012 - EMR HL7 DC.txt,2012 - EMR HL7 IN.txt,2012 - EMR Pharmacy.txt,2012 - NASAProcessReq.txt,2013 - iTrust.txt,2014 - Minutia.txt,2016 - FDP Clearinghouse.txt,2017 - ePhyto.txt,2017 - NISTMfgData.txt,2018 - DataWarehouse.txt,2019 - MOSAR.txt,2021 - ConnectedVehiclePilotNYC.txt,2021 - ReqView.txt,2022 - MobileSurveillance.txt,2022 - UAM IMS.txt,automated-insulin-pump.txt,EHR System FuncReq - LA DHS.txt,EHR System TechReq LA DHS.txt,light-control-system.txt,RROWDyS.txt
0000 - cctns.txt,0.9999999403953552,0.7755290269851685,0.7296459674835205,0.7275292873382568,0.6991218328475952,0.817889928817749,0.7959774732589722,0.7028619647026062,0.8016563653945923,0.6964624524116516,0.7315309643745422,0.7558706998825073,0.8860008120536804,0.6769367456436157,0.7714529037475586,0.8188828229904175,0.7332516312599182,0.549095630645752,0.7644593715667725,0.7320123314857483,0.796337902545929,0.9036621451377869,0.754656970500946,0.8045317530632019,0.7359403371810913,0.7488187551498413,0.8168072700500488,0.7365008592605591,0.8015149831771851,0.7068135142326355,0.7277566194534302,0.7235749363899231,0.6761916875839233,0.7519632577896118,0.7091203927993774,0.8134915828704834,0.7452978491783142,0.7094390988349915,0.8852571249008179,0.7915141582489014,0.7263535857200623,0.8036878108978271,0.6402896642684937,0.7862405776977539,0.6480281949043274,0.7141715288162231,0.7966979742050171,0.6749786734580994,0.7128311991691589,0.7256078720092773,0.6909145712852478,0.6844521760940552,0.7040684223175049,0.6968231201171875,0.7584351301193237,0.8403616547584534,0.8327242732048035,0.8154521584510803,0.7114185094833374,0.6731094121932983,0.7988232970237732,0.7330628037452698,0.8244732022285461,0.727777898311615,0.7119237184524536,0.7116773128509521,0.7229362726211548,0.823571503162384,0.8015929460525513,0.7779136300086975,0.6824939250946045,0.6852588653564453,0.7575260400772095,0.762191116809845,0.8613612651824951,0.7018938660621643,0.7492156624794006,0.7328381538391113,0.6777138113975525,0.7235246896743774,0.7322947978973389,0.6729270219802856,0.7170343399047852,0.7683771848678589,0.7419743537902832,0.7214979529380798
0000 - gamma j.txt,0.7755290269851685,1.0000001192092896,0.6755244135856628,0.7159205675125122,0.7267900705337524,0.8290464282035828,0.8396542072296143,0.8645300269126892,0.8654181361198425,0.8528411984443665,0.6279144287109375,0.8386404514312744,0.790421724319458,0.7346810102462769,0.7189489603042603,0.8852937817573547,0.8626433610916138,0.6869118213653564,0.704683244228363,0.6883487701416016,0.8570677638053894,0.8213467001914978,0.8921954035758972,0.6099864840507507,0.6364227533340454,0.8866908550262451,0.8793019652366638,0.7389140725135803,0.8744443655014038,0.6796829700469971,0.6803921461105347,0.6466946005821228,0.5674605369567871,0.654005765914917,0.7360904216766357,0.8932013511657715,0.7448315024375916,0.672135055065155,0.8773147463798523,0.9003912210464478,0.698180615901947,0.7983834147453308,0.6639062166213989,0.8384761214256287,0.740853488445282,0.6554010510444641,0.9127919673919678,0.5281426310539246,0.7692190408706665,0.6502036452293396,0.7189244627952576,0.7227291464805603,0.7003253698348999,0.6361467838287354,0.5840093493461609,0.9037308692932129,0.8640658855438232,0.7799405455589294,0.6929494142532349,0.6973539590835571,0.8207547664642334,0.6394537687301636,0.9087414145469666,0.8441994190216064,0.532934308052063,0.5614984631538391,0.8341737985610962,0.8711481094360352,0.6746889352798462,0.8259108066558838,0.7767807841300964,0.7340502738952637,0.7514069080352783,0.7102636098861694,0.9138962030410767,0.7157384753227234,0.8735218048095703,0.8668218851089478,0.7108151316642761,0.7274735569953918,0.6223995685577393,0.44908973574638367,0.6850165128707886,0.6923670172691345,0.6264441013336182,0.8737536668777466
0000 - inventory.txt,0.7296459674835205,0.6755244135856628,1.0000001192092896,0.7841345071792603,0.7336099147796631,0.6925228834152222,0.6449464559555054,0.5864925384521484,0.6894009113311768,0.544126033782959,0.807128369808197,0.5928572416305542,0.7251737117767334,0.8022632598876953,0.8938431143760681,0.6860782504081726,0.59322190284729,0.7058104276657104,0.857710063457489,0.8524596095085144,0.7136566638946533,0.7182570695877075,0.6865710020065308,0.7863487005233765,0.8902506828308105,0.6277830004692078,0.6280219554901123,0.829811155796051,0.6667436957359314,0.8410900235176086,0.8244348764419556,0.8260085582733154,0.8618140816688538,0.8163737654685974,0.8180976510047913,0.707459568977356,0.8769428730010986,0.7433302402496338,0.6996284127235413,0.6853809952735901,0.685975968837738,0.6225398778915405,0.7362801432609558,0.6296574473381042,0.8072609901428223,0.8816177845001221,0.6525049209594727,0.7492894530296326,0.84273761510849,0.8595149517059326,0.8439743518829346,0.8508703112602234,0.7937745451927185,0.8399760127067566,0.8419555425643921,0.7246269583702087,0.6727452278137207,0.7217152118682861,0.9032564163208008,0.865807056427002,0.6447426080703735,0.8635473251342773,0.6912363767623901,0.6091473698616028,0.8003808856010437,0.7365971207618713,0.5911862850189209,0.6875811219215393,0.6656703352928162,0.6025687456130981,0.523488461971283,0.8468615412712097,0.8867693543434143,0.9100757241249084,0.729560136795044,0.7601139545440674,0.595160722732544,0.5895881056785583,0.8342308402061462,0.7854956984519958,0.8515099287033081,0.734382152557373,0.7381735444068909,0.8469882011413574,0.8668400049209595,0.6053215265274048
1995 - gemini.txt,0.7275292873382568,0.7159205675125122,0.7841345071792603,0.9999999403953552,0.901140034198761,0.7183406949043274,0.7224143743515015,0.7145193219184875,0.7377167344093323,0.668012261390686,0.7901446223258972,0.7208890318870544,0.6838374733924866,0.8484358191490173,0.8760477900505066,0.7134289145469666,0.713464617729187,0.7282305359840393,0.8804621696472168,0.859409511089325,0.7302615642547607,0.7589473128318787,0.7417846918106079,0.7293874621391296,0.7493783831596375,0.7165377736091614,0.7514409422874451,0.8793482780456543,0.7164127826690674,0.8204889297485352,0.840988278388977,0.7577595710754395,0.6787219047546387,0.870116651058197,0.9013482928276062,0.7371514439582825,0.8709744215011597,0.9207496643066406,0.7681519389152527,0.737887442111969,0.8701475262641907,0.7462376356124878,0.746272623538971,0.6766937375068665,0.8728044033050537,0.7476682662963867,0.7401431798934937,0.6192078590393066,0.8869121074676514,0.78200364112854,0.8824912905693054,0.892734944820404,0.9076274037361145,0.6854769587516785,0.7296817302703857,0.7642080187797546,0.7338981032371521,0.765701413154602,0.7854689955711365,0.7688075304031372,0.7408255338668823,0.763530433177948,0.7742597460746765,0.6787248253822327,0.6668114066123962,0.7522491216659546,0.7023614645004272,0.7275528311729431,0.6465991139411926,0.6889458298683167,0.6255603432655334,0.8407195210456848,0.8702191114425659,0.8228416442871094,0.7684535980224609,0.8925254344940186,0.7152684926986694,0.728282630443573,0.8386174440383911,0.9068022966384888,0.7220550179481506,0.5827889442443848,0.838030219078064,0.8426185846328735,0.8034417629241943,0.7050372362136841
1995 - Landsat7.txt,0.6991218328475952,0.7267900705337524,0.7336099147796631,0.901140034198761,1.0000001192092896,0.7595526576042175,0.7777794599533081,0.7698228359222412,0.7497009634971619,0.7317591309547424,0.7652480006217957,0.7742670774459839,0.6780626773834229,0.8558247685432434,0.8335862159729004,0.738243818283081,0.7703030109405518,0.7670920491218567,0.8483797311782837,0.8113604784011841,0.727816104888916,0.745571494102478,0.7507431507110596,0.6637290716171265,0.7042178511619568,0.7403038144111633,0.7871526479721069,0.8719106316566467,0.7464824914932251,0.7879376411437988,0.8456481695175171,0.7311884164810181,0.637172281742096,0.8168711066246033,0.9187543988227844,0.7263505458831787,0.8458570241928101,0.8904790878295898,0.7707518339157104,0.7421155571937561,0.852290153503418,0.7590693235397339,0.6868639588356018,0.7432791590690613,0.8660516738891602,0.7129442691802979,0.7842695713043213,0.5887452960014343,0.8430137634277344,0.7510055899620056,0.8259595632553101,0.8316435813903809,0.8902418613433838,0.6703073978424072,0.6771523356437683,0.7710751295089722,0.772836446762085,0.7612370252609253,0.7467659115791321,0.7468745112419128,0.7312589883804321,0.7118940353393555,0.7645936608314514,0.7104498147964478,0.6099010109901428,0.6836062669754028,0.7213157415390015,0.7372736930847168,0.6076412200927734,0.7227543592453003,0.6829872131347656,0.8300376534461975,0.851738691329956,0.8155965805053711,0.7949857711791992,0.8958337903022766,0.7478408217430115,0.7748144865036011,0.8211617469787598,0.9027261137962341,0.701870858669281,0.5495288372039795,0.8290328979492188,0.7914698123931885,0.7397207021713257,0.7483724355697632
1997 - Modis.txt,0.817889928817749,0.8290464282035828,0.6925228834152222,0.7183406949043274,0.7595526576042175,0.9999998807907104,0.8344658613204956,0.7979678511619568,0.8275940418243408,0.7912585139274597,0.7427652478218079,0.8259122371673584,0.8270350694656372,0.7392435073852539,0.7398964166641235,0.8895626068115234,0.8016713261604309,0.6697925329208374,0.7663028240203857,0.7517015933990479,0.8153473734855652,0.8736546039581299,0.8006839752197266,0.7187330722808838,0.7025270462036133,0.8172101974487305,0.8496718406677246,0.7679941654205322,0.863835334777832,0.7301764488220215,0.749205470085144,0.7496241331100464,0.6468263268470764,0.7199046015739441,0.7383625507354736,0.8289344310760498,0.7659434676170349,0.7133263945579529,0.872251033782959,0.8125838041305542,0.730802595615387,0.810676097869873,0.6229237914085388,0.8627921342849731,0.7290179133415222,0.6987969279289246,0.8475790619850159,0.6502188444137573,0.7218693494796753,0.7506174445152283,0.6822260618209839,0.6957709193229675,0.7252210378646851,0.6727269887924194,0.7004579305648804,0.8747732043266296,0.8777017593383789,0.8249984383583069,0.7044327259063721,0.7110963463783264,0.7850083112716675,0.6991050243377686,0.8609510660171509,0.7815588712692261,0.6640571355819702,0.6648290753364563,0.7787425518035889,0.8475862741470337,0.7207242846488953,0.8204689621925354,0.7121249437332153,0.7642250657081604,0.7664116621017456,0.7593990564346313,0.9000716805458069,0.7451989054679871,0.8167507648468018,0.7979618906974792,0.7058029174804688,0.7588845491409302,0.6816157102584839,0.6207107901573181,0.7142400741577148,0.7358852028846741,0.6921519041061401,0.7901038527488708
1998 - themas.txt,0.7959774732589722,0.8396542072296143,0.6449464559555054,0.7224143743515015,0.7777794599533081,0.8344658613204956,1.0,0.8692229986190796,0.8287312984466553,0.8791429996490479,0.6772091388702393,0.8901485204696655,0.7875009775161743,0.7538096308708191,0.6989589333534241,0.8791007399559021,0.9038704633712769,0.6801273822784424,0.7485162615776062,0.6973442435264587,0.8063167333602905,0.8649070262908936,0.8570322394371033,0.6172938942909241,0.6239980459213257,0.8661182522773743,0.9203041791915894,0.7525798082351685,0.8539147973060608,0.6703952550888062,0.691792368888855,0.6522306203842163,0.5673116445541382,0.6934676170349121,0.7420725226402283,0.831407904624939,0.7416458129882812,0.710545539855957,0.8812989592552185,0.8450406789779663,0.7339670062065125,0.8591347932815552,0.5992934703826904,0.8479202389717102,0.7405440211296082,0.6355123519897461,0.8790098428726196,0.5882683396339417,0.7295676469802856,0.6508769392967224,0.6908021569252014,0.6912354230880737,0.7343573570251465,0.625693142414093,0.6018748879432678,0.8686695694923401,0.8840407729148865,0.8054101467132568,0.6579886674880981,0.6797524690628052,0.8367932438850403,0.612208366394043,0.8507860898971558,0.8082167506217957,0.5695837140083313,0.5867679119110107,0.8381168842315674,0.8469470739364624,0.6847628951072693,0.8697550892829895,0.856194794178009,0.7245035767555237,0.7452081441879272,0.6952029466629028,0.8865923881530762,0.7468942999839783,0.8477960228919983,0.8829478025436401,0.7027942538261414,0.7438961267471313,0.6496921181678772,0.5341189503669739,0.6924124956130981,0.6793504953384399,0.6612241268157959,0.8790764808654785
1999 - Defense.txt,0.7028619647026062,0.8645300269126892,0.5864925384521484,0.7145193219184875,0.7698228359222412,0.7979678511619568,0.8692229986190796,1.0000001192092896,0.8509778380393982,0.9341006278991699,0.6080648899078369,0.9106476306915283,0.7095543146133423,0.7511869072914124,0.6606276035308838,0.8693975210189819,0.906197190284729,0.7334933876991272,0.6904603838920593,0.6566891670227051,0.8466163873672485,0.7969952821731567,0.8486753106117249,0.5453393459320068,0.5480918288230896,0.8923797607421875,0.9063483476638794,0.7370312213897705,0.8513994216918945,0.6502960920333862,0.6738096475601196,0.5712124705314636,0.48835644125938416,0.6508974432945251,0.7425873875617981,0.8253573179244995,0.7056946158409119,0.6955674886703491,0.8489436507225037,0.8636312484741211,0.7248243689537048,0.8453420400619507,0.5977948904037476,0.8614324331283569,0.7510541677474976,0.5764747858047485,0.8974637985229492,0.4600660800933838,0.7422610521316528,0.5856648683547974,0.673663318157196,0.675923764705658,0.7375397682189941,0.5677172541618347,0.4942745864391327,0.8582031726837158,0.8668855428695679,0.7373164892196655,0.6222125291824341,0.6342103481292725,0.8148035407066345,0.573839008808136,0.8640965223312378,0.8305416107177734,0.4701022803783417,0.5343384742736816,0.8722615242004395,0.8524432182312012,0.6261665225028992,0.8419396281242371,0.8340860605239868,0.7068845629692078,0.7146704196929932,0.6608920097351074,0.8684589266777039,0.7460592985153198,0.8956878781318665,0.9063946604728699,0.6873355507850647,0.7226903438568115,0.584417998790741,0.36328795552253723,0.6655709743499756,0.6484982967376709,0.5731923580169678,0.9017746448516846
1999 - multi-mahjong.txt,0.8016563653945923,0.8654181361198425,0.6894009113311768,0.7377167344093323,0.7497009634971619,0.8275940418243408,0.8287312984466553,0.8509778380393982,0.9999998807907104,0.8281245827674866,0.6859686374664307,0.851040244102478,0.803904116153717,0.7255333662033081,0.7357240915298462,0.8450724482536316,0.8496829271316528,0.6695659756660461,0.7286074161529541,0.7120538949966431,0.8621963858604431,0.8513363003730774,0.8593631982803345,0.6573026776313782,0.6766369342803955,0.864942729473114,0.8615540266036987,0.7502158880233765,0.8362533450126648,0.6896018385887146,0.7062615156173706,0.6970641613006592,0.6135649681091309,0.6646996736526489,0.755706787109375,0.8874468803405762,0.7417229413986206,0.7033156752586365,0.8561158180236816,0.8535361886024475,0.7392128109931946,0.8261418342590332,0.6604246497154236,0.827339768409729,0.7200990915298462,0.6737838387489319,0.8948701024055481,0.540691614151001,0.7635830640792847,0.6944646835327148,0.7062409520149231,0.7009125351905823,0.7201650142669678,0.6699219346046448,0.6275488138198853,0.8842418193817139,0.8533044457435608,0.7865088582038879,0.7036493420600891,0.7209416031837463,0.8151600360870361,0.6402366757392883,0.8722660541534424,0.7823030352592468,0.5535719394683838,0.5579510927200317,0.8156694173812866,0.848827600479126,0.673184335231781,0.7794503569602966,0.7486041188240051,0.7314603328704834,0.7299894094467163,0.7366819977760315,0.8935595750808716,0.7237696647644043,0.8428084850311279,0.8346083164215088,0.7124605178833008,0.7420448064804077,0.6518746018409729,0.5164677500724792,0.6769554615020752,0.6972628235816956,0.6850252747535706,0.8119169473648071
1999 - tcs.txt,0.6964624524116516,0.8528411984443665,0.544126033782959,0.668012261390686,0.7317591309547424,0.7912585139274597,0.8791429996490479,0.9341006278991699,0.8281245827674866,1.0,0.5781923532485962,0.9240176677703857,0.7016099691390991,0.7251935601234436,0.6073797941207886,0.8544200658798218,0.9282597899436951,0.6869891285896301,0.6474491953849792,0.6252660155296326,0.7802141308784485,0.8033267855644226,0.8463795185089111,0.5145889520645142,0.5241947174072266,0.8952590227127075,0.9150502681732178,0.7118589878082275,0.8513321876525879,0.6276743412017822,0.6526903510093689,0.5587542057037354,0.47120189666748047,0.6028792858123779,0.699432373046875,0.8218920230865479,0.6495987176895142,0.65119868516922,0.8362762928009033,0.8465681672096252,0.7013352513313293,0.8532337546348572,0.5570346117019653,0.8702689409255981,0.7112818956375122,0.5488962531089783,0.900977611541748,0.4728914201259613,0.6903240084648132,0.5642309188842773,0.6216078400611877,0.6234080791473389,0.7094324827194214,0.5467242002487183,0.46877521276474,0.8659809827804565,0.8536015152931213,0.7374070882797241,0.5872432589530945,0.6083744764328003,0.8173975348472595,0.5358152985572815,0.8561915159225464,0.7988998889923096,0.4582652747631073,0.5126515030860901,0.8847518563270569,0.8462393283843994,0.6322965025901794,0.8579509258270264,0.8346414566040039,0.6576719284057617,0.6761301159858704,0.6049140691757202,0.8519381880760193,0.7217723727226257,0.8974087834358215,0.916400134563446,0.6488474011421204,0.6987860202789307,0.5669804215431213,0.37640249729156494,0.638996422290802,0.5895989537239075,0.5579355955123901,0.9117897748947144
