CCHIT Certified 2011 Ambulatory EHR 
Certification Criteria
May 17, 2011

© 2011 The Certification Commission for Health Information Technology	

P = Previous Criterion 
M = Modified
N = New for Year
O = Optional
																		
																						
																						
																						
																						
Internal sort column	Criteria #	Category	Criteria	Year introduced or last modified	2011 Certification	Comments	Criteria Reference	"Test Script and Step Number

AMB = Ambulatory Test Script
SEC = Security Test Script"														
2011.AM.001	AM 01.01	Identify and maintain a patient record	The system shall create a single patient record for each patient.	2006	P		DC.1.1.1	AMB 1.02														
2011.AM.002	AM 01.02	Identify and maintain a patient record	The system shall associate (store and link) key identifier information (e.g., system ID, medical record number) with each patient record.	2006	P	Key identifier information must be unique to the patient record but may take any system defined internal or external form.	DC.1.1.1	AMB 1.02														
2011.AM.003	AM 01.03	Identify and maintain a patient record	The system shall provide the ability to store more than one identifier for each patient record.	2006	P	"For interoperability, practices need to be able to store additional patient identifiers.  Examples include an ID generated by an Enterprise Master Patient Index, a health plan or insurance subscriber ID, regional and/or national patient identifiers if/when such become available.
"	DC.1.1.1	AMB 1.03														
2011.AM.004	AM 01.04	Identify and maintain a patient record	The system shall provide a field which will identify patients as being exempt from reporting functions.	2006	P	Examples may include patients who are deceased, transferred, moved, seen as consults only.  Being exempt from reporting is not the same as de-identifying a patient who will be included in reports.  De-identifying patients for reporting is addressed in the "Health record output" functionality.	DC.1.1.1	AMB 4.73, 4.74														
2011.AM.005	AM 01.05	Identify and maintain a patient record	The system shall provide the ability to merge patient information from two patient records into a single patient record.	2009	N	"If a duplicate chart is created, information could be merged into one chart.

Does not imply an unmerge capability.  The intent is to merge information for a single patient; this would include discrete data elements from both patient records."	DC.1.1.1	AMB 1.04														
2011.AM.006	AM 02.01	Manage patient demographics	The system shall provide the ability to include demographic information in reports.	2006	P	"This includes using demographics to generate reports and also allows demographics to be gathered into a report.  See also ""Report generation"" functionality.
"	DC.1.1.2	AMB 1.38														
2011.AM.007	AM 02.02	Manage patient demographics	"The system shall provide the ability to maintain and make available historic information for demographic data including prior names, addresses, phone numbers and email addresses.
"	2007	P	Providers need this for look up and contact purposes, e.g., when attempting to locate a patient or family member for clinical communications.	DC.1.1.2	AMB 1.07														
2011.AM.008	AM 02.04	Manage patient demographics	"The system shall provide the ability to modify demographic information about the patient.
"	2006	P		DC.1.1.2	AMB 1.06														
2011.AM.009	AM 02.05	Manage patient demographics	"The system shall store demographic information in the patient medical record in separate discrete data fields, such that data extraction tools can retrieve these data.
"	2006	P		DC.1.1.2	AMB 1.06														
2011.AM.010	FN 01.01	Manage Patient Demographics	The system shall provide the ability to access demographic information such as name, date of birth and gender needed for patient care functions.	2008	P	"Examples of a minimum set of demographic data elements include:  name, address, phone number and date of birth.  It is assumed that all demographic fields necessary to meet legislative, regulatory, research and public health requirements will be included.
This criterion will be replaced by FN 01.01.01 in 10.
"	Source is WG discussion and cross-group harmonization.	AMB 1.03														
