Unique ID	Label	Requirement Statement	Solution Scope	Solution Approach
HIPAA Requirements				
433	HIPAA 01.00	"The solution should comply with the HIPAA Privacy Rule. Privacy Rule  (Protected health information, or PHI, is defined at 45 CFR § 160.103, which can be found on the
OCR website at http://hhs.gov/ocr/hipaa.)"	Unknown	Unknown
429	HIPAA 02.00	The solution should comply with the HIPAA Security Rule. 	Unknown	Unknown
432	HIPAA 02.01	The solution should comply with the HIPAA Security Rule: Administrative Safeguards. In general, these are the administrative functions that should be implemented to meet the security standards. These include assignment or delegation of security responsibility to an individual and security training requirements.	Unknown	Unknown
431	HIPAA 02.02	The solution should comply with the HIPAA Security Rule: Physical Safeguards. The Security Rule defines physical safeguards as physical measures, policies, and procedures to protect a covered entity’s electronic information solutions and related buildings and equipment, from natural and environmental hazards, and unauthorized intrusion. The standards are another line of defense (adding to the Security Rule’s administrative and technical safeguards) for protecting EPHI.	Unknown	Unknown
435	HIPAA 02.03	The solution should comply with the HIPAA Security Rule: Technical Safeguards. The Security Rule defines technical safeguards in § 164.304 as the technology and the policy and procedures for its use that protect electronic protected health information and control access to it.	Unknown	Unknown
430	HIPAA 03.00	The solution should comply with Electronic Transactions and Code Sets Rule. 	Unknown	Unknown
428	HIPAA 04.00	The solution should comply with the National identifier requirements for employers, providers, and health plans - The Employer Identification Number (EIN), issued by the Internal Revenue Service (IRS), was selected as the identifier for employers. The National Provider Identifier (NPI) was adopted as the standard unique health identifier for health care providers. 	Unknown	Unknown
427	HIPAA 05.00	The HIPAA security requirements are designed to be technology neutral and scalable. Per CFR 164.306(b) the solution should take into account (1) The size, complexity and capabilities of the organization. (2) The organization's technical infrastructure, hardware, and software security capabilities. (3) The costs of security measures. (4) The probability and criticality of potential risks to EPHI.	Unknown	Unknown
745	HIPAA 160.103.02	The solution should protect Individually identifiable health information that is information, including demographic data, that relates to:  (1) the individual’s past, present or future physical or mental health or condition; (2) the provision of health care to the individual, or 3) the past, present, or future payment for the provision of health care to the individual, and that identifies the individual or for which there is a reasonable basis to believe can be used to identify the individual; (3) Individually identifiable health information includes many common identifiers (e.g., name, address, birth date, Social Security Number).	Unknown	Unknown
746	HIPAA 160.103.03	The solution should comply with the Privacy Rule that protects all individually identifiable health information held or transmitted by a covered entity or its business associate, in any form or media, whether electronic, paper, or oral. The Privacy Rule calls this information "protected health information (PHI).	Unknown	Unknown
669	HIPAA 160.310 (a)	The solution should provide HIPAA records and compliance reports. 	Unknown	Unknown
516	HIPAA 164.308(a)(1)(ii)(D)	The solution should provide reports for records of information solution activity, such as audit logs, access reports, and security incident tracking reports.	Unknown	Unknown
574	HIPAA 164.308(a)(4)(ii)(B)	The solution should provide the ability to grant and revoke access to electronic protected health information managed by the solution.	Unknown	Unknown
495	HIPAA 164.308(a)(7)(ii)(A)	The solution should maintain retrievable exact copies of electronic protected health information.	Unknown	Unknown
496	HIPAA 164.308(a)(7)(ii)(B)	The solution should provide the ability to restore any loss of data.	Unknown	Unknown
506	HIPAA 164.312(a)(1)	The solution should implement technical policies and procedures for electronic information solutions that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in 45 CFR 164.308(a)(4) [Information Access Management].	Unknown	Unknown
507	HIPAA 164.312(a)(2)(i)	The solution should assign a unique name and/or number for identifying and tracking user identity (Global User ID).	Unknown	Unknown
509	HIPAA 164.312(a)(2)(iii)	The solution should implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.	Unknown	Unknown
510	HIPAA 164.312(a)(2)(iv)	The solution should implement a mechanism to encrypt and decrypt electronic protected health information.	Unknown	Unknown
581	HIPAA 164.312(b)	The organization should implement hardware, software, and/or procedural mechanisms that record and examine activity in information solutions that contain or use electronic protected health information.	Unknown	Unknown
608	HIPAA 164.312(C)(2)	The solution should implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.	Unknown	Unknown
500	HIPAA 164.312(d)	The solution should implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.	Unknown	Unknown
616	HIPAA 164.312(e)(1)	The solution should implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.	Unknown	Unknown
605	HIPAA 164.312(e)(2)(i)	The solution should implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.	Unknown	Unknown
