Unique ID	Label	Requirement Statement	Solution Scope	Solution Approach
DC 1.	Care Management			
	HL7 DC 1.0.0.01	The solution should conform to function IN.1.1 (Entity Authentication).	Unknown	Unknown
	HL7 DC 1.0.0.02	The solution should conform to function IN.1.2 (Entity Authorization).	Unknown	Unknown
	HL7 DC 1.0.0.03	The solution should conform to function IN.1.3 (Entity Access Control).	Unknown	Unknown
	HL7 DC 1.0.0.04	The solution should conform to function IN.1.5 (Non- Repudiation), to guarantee that the sources and receivers of data cannot deny that they entered/sent/received the data.	Unknown	Unknown
	HL7 DC 1.0.0.05	The solution should conform to function IN.1.6 (Secure Data Exchange), to ensure that the data are protected.	Unknown	Unknown
	HL7 DC 1.0.0.06	The solution should conform to function IN.1.7 (Secure Data Routing), to ensure that the exchange occurs only among authorized senders and receivers.	Unknown	Unknown
	HL7 DC 1.0.0.07	The solution should conform to function IN.1.8 (Information Attestation), to show authorship and responsibility for the data.	Unknown	Unknown
	HL7 DC 1.0.0.08	The solution should conform to function IN.1.9 (Patient Privacy and Confidentiality).	Unknown	Unknown
	HL7 DC 1.0.0.09	The solution should conform to function IN.2.1 (Data Retention, Availability and Destruction).	Unknown	Unknown
	HL7 DC 1.0.0.10	The solution should conform to function IN.2.3 (Synchronization).	Unknown	Unknown
	HL7 DC 1.0.0.11	The solution should conform to function IN.2.4 (Extraction of Health Record Information), to support data extraction across the complete health record of an individual.	Unknown	Unknown
	HL7 DC 1.0.0.12	The solution should conform to function IN.2.5.1 (Manage Unstructured Health Record Information), to ensure data integrity through all changes.	Unknown	Unknown
	HL7 DC 1.0.0.13	The solution should conform to function IN.2.5.2 (Manage Structured Health Record Information), to ensure data integrity through all changes.	Unknown	Unknown
	HL7 DC 1.0.0.14	The solution should conform to function IN.3 (Registry and Directory Services).	Unknown	Unknown
	HL7 DC 1.0.0.15	The solution should conform to function IN.4.1 (Standard Terminologies and Terminology Models), to support semantic interoperability.	Unknown	Unknown
	HL7 DC 1.0.0.16	The solution should conform to function IN.4.2 (Maintenance and Versioning of Standard Terminologies), to preserve the semantics of coded data over time.	Unknown	Unknown
	HL7 DC 1.0.0.17	The solution should conform to function IN.4.3 (Terminology Mapping).	Unknown	Unknown
	HL7 DC 1.0.0.18	The solution should conform to function IN.5.1 (Interchange Standards), to support interoperability.	Unknown	Unknown
	HL7 DC 1.0.0.19	The solution should conform to function IN.5.2 (Interchange Standards Versioning and Maintenance), to accommodate the inevitable evolution of interchange standards.	Unknown	Unknown
	HL7 DC 1.0.0.20	The solution should conform to function IN.5.3 (Standards-based Application Integration).	Unknown	Unknown
	HL7 DC 1.0.0.21	The solution should conform to function IN.5.4 (Interchange Agreements), to define how the sender and receiver will exchange data.	Unknown	Unknown
	HL7 DC 1.0.0.22	The solution should conform to function IN.6 (Business Rules Management).	Unknown	Unknown
	HL7 DC 1.0.0.23	The solution should conform to function IN.7 (Workflow Management).	Unknown	Unknown
	HL7 DC 1.0.0.24	The solution should conform to function S.2.2.1 (Health Record Output).	Unknown	Unknown
	DC 1.1	Record Management		
	DC 1.1.1	Identify and Maintain a Patient Record		
	HL7 DC 1.1.1.01	The solution should create a single logical record for each patient.	Unknown	Unknown
	HL7 DC 1.1.1.02	The solution should provide the ability to create a record for a patient when the identity of the patient is unknown.	Unknown	Unknown
	HL7 DC 1.1.1.03	The solution should provide the ability to store more than one identifier for each patient record.	Unknown	Unknown
	HL7 DC 1.1.1.04	The solution should associate key identifier information (e.g., solution ID, medical record number) with each patient record.	Unknown	Unknown
	HL7 DC 1.1.1.05	The solution should provide the ability to uniquely identify a patient and tie the record to a single patient.	Unknown	Unknown
	HL7 DC 1.1.1.06	The solution should provide the ability, through a controlled method, to merge or link dispersed information for an individual patient upon recognizing the identity of the patient.	Unknown	Unknown
	HL7 DC 1.1.1.07	If health information has been mistakenly associated with a patient, then the solution should provide the ability to mark the information as erroneous in the record of the patient in which it was mistakenly associated and represent that information as erroneous in all outputs containing that information.	Unknown	Unknown
	HL7 DC 1.1.1.08	If health information has been mistakenly associated with a patient, THEN the solution should provide the ability to associate it with the correct patient.	Unknown	Unknown
	HL7 DC 1.1.1.09	The solution should provide the ability to retrieve parts of a patient record using a primary identifier, secondary identifiers, or other information which are not identifiers, but could be used to help identify the patient.	Unknown	Unknown
	HL7 DC 1.1.1.10	The solution should provide the ability to obsolete, inactivate, nullify, destroy and archive a patient's record in accordance with local policies and procedures, as well as applicable laws and regulations.	Unknown	Unknown
	HL7 DC 1.1.1.11	If related patients register with any identical data, then the solution should provide the ability to propagate that data to all their records.	Unknown	Unknown
	HL7 DC 1.1.1.12	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.1.2	Manage Patient Demographics		
	HL7 DC 1.1.2.01	The solution should capture demographic information as part of the patient record.	Unknown	Unknown
	HL7 DC 1.1.2.02	The solution should store and retrieve demographic information as discrete data.	Unknown	Unknown
	HL7 DC 1.1.2.03	The solution should provide the ability to retrieve demographic data as part of the patient record.	Unknown	Unknown
	HL7 DC 1.1.2.04	The solution should provide the ability to update demographic data.	Unknown	Unknown
	HL7 DC 1.1.2.05	The solution should provide the ability to report demographic data.	Unknown	Unknown
	HL7 DC 1.1.2.06	The solution should store historical values of demographic data over time.	Unknown	Unknown
	HL7 DC 1.1.2.07	The solution should present a set of patient identifying information at each interaction with the patient record.	Unknown	Unknown
	HL7 DC 1.1.2.08	The solution should conform to function IN.1.4 (Patient Access Management).	Unknown	Unknown
	HL7 DC 1.1.2.09	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.1.3	Data and Documentation from External Sources		
	HL7 DC 1.1.3.0.01	The solution should conform to function IN.1.4 (Patient Access Management).	Unknown	Unknown
	HL7 DC 1.1.3.0.02	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
	DC 1.1.3.1	Capture Data and Documentation from External Clinical Sources		
	HL7 DC 1.1.3.1.01	The solution should provide the ability to capture external data and documentation.	Unknown	Unknown
	HL7 DC 1.1.3.1.02	If lab results are received through an electronic interface, then the solution should receive and store the data elements into the patient record.	Unknown	Unknown
	HL7 DC 1.1.3.1.03	If lab results are received through an electronic interface, then the solution should display them upon request.	Unknown	Unknown
	HL7 DC 1.1.3.1.04	The solution should provide the ability to receive, store and display scanned documents as images.	Unknown	Unknown
	HL7 DC 1.1.3.1.05	The solution should provide the ability to store imaged documents or reference the imaged documents via links to imaging solutions.	Unknown	Unknown
	HL7 DC 1.1.3.1.06	The solution should provide the ability to receive, store and present text-based externally-sourced documents and reports.	Unknown	Unknown
	HL7 DC 1.1.3.1.07	The solution should provide the ability to receive, store and display clinical result images (such as radiologic images) received from an external source.	Unknown	Unknown
