Unique ID	Label	Requirement Statement	Solution Scope	Solution Approach
	HL7 IN 1	Security		
		HL7 IN 1.1 Entity Authentication		
6256	HL7 IN 1.1.01	The solution should authenticate principals prior to accessing an EMR application or EMR data.	Unknown	Unknown
6255	HL7 IN 1.1.02	The solution should prevent access to EMR applications or EMR data to all non-authenticated principals.	Unknown	Unknown
5537	HL7 IN 1.1.03	The solution should provide the ability to implement a Chain of Trust agreement.	Unknown	Unknown
6253	HL7 IN 1.1.04	If other appropriate authentication mechanisms are absent, then the solution should authenticate principals using at least one of the following authentication mechanisms: username/password, digital certificate, secure token or biometrics.	Unknown	Unknown
		HL7 IN 1.2 Entity Authorization		
6252	HL7 IN 1.2.01	The solution should provide the ability to create and update sets of access-control permissions granted to principals.	Unknown	Unknown
6251	HL7 IN 1.2.02	The solution should conform to function IN.2.2 (Auditable Records) for the purpose of recording all authorization actions.	Unknown	Unknown
6250	HL7 IN 1.2.03	The solution should provide EMR security administrators with the ability to grant authorizations to principals according to scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6249	HL7 IN 1.2.04	The solution should provide EMR security administrators with the ability to grant authorizations for roles according to scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6248	HL7 IN 1.2.05	The solution should provide EMR security administrators with the ability to grant authorizations within contexts according to scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6247	HL7 IN 1.2.06	The solution should provide the ability to define context for the purpose of principal authorization based on identity, role, work assignment, present condition, location, patient consent, or patient’s present condition.	Unknown	Unknown
6246	HL7 IN 1.2.07	The solution should provide the ability to define context based on legal requirements or disaster conditions.	Unknown	Unknown
		HL7 IN 1.3 Entity Access Control		
6625	HL7 IN 1.3.01	The solution should conform to function IN.1.1 (Entity Authentication).	Unknown	Unknown
6626	HL7 IN 1.3.02	The solution should conform to function IN.1.2 (Entity Authorization).	Unknown	Unknown
6627	HL7 IN 1.3.03	The solution should provide the ability to define solution and data access rules.	Unknown	Unknown
6628	HL7 IN 1.3.04	The solution should enforce solution and data access rules for all EMR resources (at component, application, or user level, either local or remote).	Unknown	Unknown
		HL7 IN 1.4 Patient Access Management		
6629	HL7 IN 1.4.01	The solution should conform to function IN.1.3 (Entity Access Control) in order for a healthcare delivery organization to manage a patient’s access to his or her healthcare information.	Unknown	Unknown
		HL7 IN 1.5 Non-Repudiation		
6630	HL7 IN 1.5.01	The solution should time stamp initial entry, modification, or exchange of data, and identify the actor/principal taking the action as required by users' scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6631	HL7 IN 1.5.02	The solution should provide additional non-repudiation functionality where required by users' scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6632	HL7 IN 1.5.03	The solution should conform to function IN.2.2 (Auditable Records) to prevent repudiation of data origination, receipt, or access.	Unknown	Unknown
6633	HL7 IN 1.5.04	The solution should conform to function IN.1.8 (Information Attestation) to ensure the integrity of data exchange and thus prevent repudiation of data origination or receipt.	Unknown	Unknown
		HL7 IN 1.6 Secure Data Exchange		
6634	HL7 IN 1.6.01	The solution should secure all modes of EMR data exchange.	Unknown	Unknown
6635	HL7 IN 1.6.02	The solution should conform to function IN.1.7 (Secure Data Routing).	Unknown	Unknown
6636	HL7 IN 1.6.03	The solution should provide the ability to obfuscate data.	Unknown	Unknown
6637	HL7 IN 1.6.04	The solution should encrypt and decrypt EMR data that is exchanged over a non-secure link.	Unknown	Unknown
6638	HL7 IN 1.6.05	The solution should support standards-based encryption mechanisms when encryption is used for secure data exchange.	Unknown	Unknown
		HL7 IN 1.7 Secure Data Routing		
6639	HL7 IN 1.7.01	The solution should automatically route electronically exchanged EMR data only from and to known sources and destinations and only over secure networks.	Unknown	Unknown
6640	HL7 IN 1.7.02	The solution should route electronically exchanged EMR data only to and from authenticated sources and destinations (conform to function IN.1.1 (Entity Authentication)).	Unknown	Unknown
6641	HL7 IN 1.7.03	The solution should conform to function IN.2.2 (Auditable Records) to provide audit information about additions and changes to the status of destinations and sources.	Unknown	Unknown
		HL7 IN 1.8 Information Attestation		
6642	HL7 IN 1.8.01	The solution should conform to function IN.1.1 (Entity Authentication).	Unknown	Unknown
6643	HL7 IN 1.8.02	The solution should conform to function IN.1.2 (Entity Authorization).	Unknown	Unknown
6644	HL7 IN 1.8.03	The solution should provide the ability to associate any attestable content added or changed to an EMR with the content's author (for example by conforming to function IN.2.2 (Auditable Records).	Unknown	Unknown
6645	HL7 IN 1.8.04	The solution should provide the ability for attestation of attestable EMR content by the content's author.	Unknown	Unknown
6646	HL7 IN 1.8.05	The solution should indicate the status of attestable data which has not been attested.	Unknown	Unknown
6647	HL7 IN 1.8.06	The solution should provide the ability for attestation of EMR content by properly authenticated and authorized users different from the author as required by users’ scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6648	HL7 IN 1.8.07	The solution should provide the ability to use digital signatures as the means for attestation.	Unknown	Unknown
		HL7 IN 1.9 Patient Privacy and Confidentiality		
6649	HL7 IN 1.9.01	The solution should provide the ability to fully comply with the requirements for patient privacy and confidentiality in accordance with a user's scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6650	HL7 IN 1.9.02	The solution should conform to function IN.1.1 (Entity Authentication).	Unknown	Unknown
6651	HL7 IN 1.9.03	The solution should conform to function IN.1.2 (Entity Authorization).	Unknown	Unknown
6652	HL7 IN 1.9.04	The solution should conform to function IN.1.3 (Entity Access Control).	Unknown	Unknown
6653	HL7 IN 1.9.05	The solution should conform to function IN.1.5 (Non-Repudiation).	Unknown	Unknown
6654	HL7 IN 1.9.06	The solution should conform to function IN.1.6 (Secure Data Exchange).	Unknown	Unknown
6655	HL7 IN 1.9.07	The solution should conform to function IN.2.2 (Auditable Records).	Unknown	Unknown
6656	HL7 IN 1.9.08	The solution should provide the ability to maintain varying levels of confidentiality in accordance with users' scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6657	HL7 IN 1.9.09	The solution should provide the ability to mask parts of the electronic health record (e.g. medications, conditions, sensitive documents) from disclosure according to scope of practice, organizational policy or jurisdictional law.	Unknown	Unknown
6658	HL7 IN 1.9.10	The solution should provide the ability to override a mask in emergency or other specific situations according to scope of practice, organizational policy or jurisdictional law.	Unknown	Unknown
	HL7 IN 2	Health Record Information and Management		
		HL7 IN 2.1 Data Retention, Availability and Destruction		
5521	HL7 IN 2.1.01	The solution should provide the ability to store and retrieve health record data and clinical documents for the legally prescribed time.	Unknown	Unknown
6660	HL7 IN 2.1.02	The solution should provide the ability to retain inbound data or documents (related to health records) as originally received (unaltered, inclusive of the method in which they were received) for the legally organizationally prescribed time in accordance with users’ scope of practice, organizational policy, or jurisdictional law.	Unknown	Unknown
6661	HL7 IN 2.1.03	The solution should retain the content of inbound data (related to health records) as originally received for the legally prescribed time.	Unknown	Unknown
5524	HL7 IN 2.1.04	The solution should provide the ability to retrieve both the information and business context data within which that information was obtained.	Unknown	Unknown
5525	HL7 IN 2.1.05	The solution should provide the ability to retrieve all the elements included in the definition of a legal medical record.	Unknown	Unknown
5526	HL7 IN 2.1.06	The solution should provide the ability to identify specific EMR data/records for destruction, review and confirm destruction before it occurs and implement  Auditable Records function.	Unknown	Unknown
5527	HL7 IN 2.1.07	The solution should provide the ability to destroy EMR data/records so that all traces are irrecoverably removed according to policy and legal retentions periods.	Unknown	Unknown
5528	HL7 IN 2.1.08	The solution should pass along record destruction date information (if any) along with existing data when providing records to another entity.	Unknown	Unknown
		HL7 IN 2.2 Auditable Records		
6289	HL7 IN 2.2.01	The solution should provide audit capabilities for recording access and usage of solutions, data, and organizational resources.	Unknown	Unknown
6290	HL7 IN 2.2.02	The solution should conform to Entity Authentication.	Unknown	Unknown
