Label	Requirement Statement	Solution Scope	Solution Approach	
CCHCS 00 Pharmacy General Requirements				
Pharm 00.001	The solution should provide the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate facilities including  housing units. 	Unknown	Unknown	
Pharm 00.002	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including intermediate and acute care facilities e.g.  licensed hospitals and licensed psychiatric hospital.	Unknown	Unknown	
Pharm 00.003	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including an emergency department. 	Unknown	Unknown	
Pharm 00.004	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including long term care/rehabilitation/skilled nursing facilities e.g. licensed elderly care unit, in-patient psychiatric facilities, a hospice unit for AIDS/HIV or terminally ill inmates.	Unknown	Unknown	
Pharm 00.005	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including outpatient medical clinics. 	Unknown	Unknown	
Pharm 00.006	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including outpatient dental clinics.	Unknown	Unknown	
Pharm 00.007	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including Reception Centers.	Unknown	Unknown	
Pharm 00.008	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including intermediate care mental health.	Unknown	Unknown	
Pharm 00.009	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including correctional treatment center (CTC).	Unknown	Unknown	
Pharm 00.010	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including intermediate care mental health.	Unknown	Unknown	
Pharm 00.011	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including inpatient surgery facilities.	Unknown	Unknown	
Pharm 00.012	The solution should support the prescribing and ordering, order communication, dispensing, administration, monitoring, formulary and inventory requirements of different types of inmate care facilities including outpatient surgery facilities.	Unknown	Unknown	
CCHCS 01. Prescribe & Order				
Pharm 01.001	The solution should support the entering and verification of medication orders.	Unknown	Unknown	
Pharm 01.002	The solution should provide and interface download from an Offender Management System.	Unknown	Unknown	
Pharm 01.003	The solution should provide and bi-direction interface to Interface to the EMR using HL7 messaging standard.	Unknown	Unknown	
Pharm 01.004	The solution should provide an interface to the Central Fill Automation system.	Unknown	Unknown	
Pharm 01.005	The solution should accept the transmission of prescription data from the EMR's ePrescribing solution.	Unknown	Unknown	
Pharm 01.006	The solution should accept the transmission of prescription data from CPOE systems.	Unknown	Unknown	
Pharm 01.007	The solution should accept the transmission of prescription data from EMR systems.	Unknown	Unknown	
Pharm 01.008	The solution should interface with CPOE systems.	Unknown	Unknown	
Pharm 01.009	The solution should interface with EHR/EMR systems.	Unknown	Unknown	
Pharm 01.010	The solution should have a robust CPOE functionality.	Unknown	Unknown	
Pharm 01.011	The solution should provide the use of a third party database (e.g., American Druggist Bluebook, "DPIF" Drug Product Information File, Medispan, Micromedex).	Unknown	Unknown	
Pharm 01.012	The solution should provide prescription imaging to capture  prescription orders as electronic images and to link images to the inmate record.	Unknown	Unknown	
Pharm 01.013	The solution should utilize a rules-based engine that automatically sends scanned order images to the appropriate work list/queue for processing. 	Unknown	Unknown	
Pharm 01.014	If faxing is utilized, then the scanned image should go directly into the pharmacy system and into the appropriate order entry work queue.	Unknown	Unknown	
Pharm 01.015	The solution should provide separate fields for 3rd party approval codes (such as is needed for non-formulary approval), allowing for days supply and quantity limitations.	Unknown	Unknown	
Pharm 01.016	The solution should provide imaging to capture non-formulary approvals as electronic images and to link images to the prescription order within the inmate record.	Unknown	Unknown	
Pharm 01.017	The  imaging function should utilize a rules based engine and workflow queues to support prescription & order entry.	Unknown	Unknown	
Pharm 01.018	The solution should allow allergies, weight, and body surface area be entered during order entry.	Unknown	Unknown	
Pharm 01.019	The solution should display allergies during the order entry and refill process. The information includes all reactions and dates of reaction including those that are classifiable as a true allergy, intolerance, side effect or other adverse reaction to drug, dietary or environmental triggers. Notations indicating whether item is inmate reported and/or provider verified are maintained.	Unknown	Unknown	
Pharm 01.020	The solution should support the medication reconciliation process by providing on-line and paper-based access to an inmate profile  that allows the staff to see all active, inactive medications for the inmate, as well as any documented allergies. The physician and nursing staff can use these reports to renew, discontinue,  or change existing prescription orders, or to write new prescriptions. 	Unknown	Unknown	
Pharm 01.021	The solution should display additional inmate information during the order entry process.	Unknown	Unknown	
Pharm 01.022	The solution should display clinical information (medical/dental) during the order entry process.	Unknown	Unknown	
Pharm 01.023	The solution should show available laboratory test data during order processing.	Unknown	Unknown	
Pharm 01.024	The solution should provide access to laboratory data for re-evaluating lab data each time medication is dispensed.	Unknown	Unknown	
Pharm 01.025	The solution should provide mechanisms for incorporating external clinical data and documentation (including identification of source) as image documents attached to the inmate record.	Unknown	Unknown	
Pharm 01.026	The solution should allow the rejection of medication ordering and/or dispensing based upon out-of-range lab data.	Unknown	Unknown	
Pharm 01.027	The solution should provide real time multi-level clinical decision support (for all routes) on the front end of order entry.	Unknown	Unknown	
Pharm 01.028	The solution should automatically check for drug-fluid compatibility during the order entry process.	Unknown	Unknown	
Pharm 01.029	The solution should automatically check for drug-drug interaction (for all routes) during the order entry process.	Unknown	Unknown	
Pharm 01.030	The solution should automatically check for drug-lab interaction (for all routes) during the order entry process.	Unknown	Unknown	
Pharm 01.031	The solution should automatically check for drug-food interaction (for all routes) during the order entry process.	Unknown	Unknown	
Pharm 01.032	The solution should automatically check for drug-procedure interaction (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.033	The solution should automatically check for drug-lactation precaution (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.034	The solution should automatically check for drug-pregnancy precaution (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.035	The solution should provide dose range checking by age (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.036	The solution should provide dose range checking by weight  (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.037	The solution should provide dose range checking by disease state  (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.038	The solution should provide interaction screening for drug duplicates  (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.039	The solution should provide interaction screening for therapeutic duplicates  (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.040	The solution should provide alerts that indicate the medication is not vegetarian  (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.041	The solution should provide alerts for short man/tall man (for all routes) during the order entry process.	Unknown	Unknown	
Pharm 01.042	The solution should provide alerts for sound alike and look alike drugs (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.043	The solution should provide alerts for user-configured business rules (for all routes)  during the order entry process.	Unknown	Unknown	
Pharm 01.044	The solution should help prevent medication errors by using current JCAHO, ISP, and other widely accepted standards.	Unknown	Unknown	
Pharm 01.045	The solution should allow CCHCS to prioritize / rank the importance of the interaction and/or warning.	Unknown	Unknown	
Pharm 01.046	The solution should support the on-line acknowledgement of alerts with override control by authorized users.	Unknown	Unknown	
Pharm 01.047	The solution should provide an audit trail whenever an interaction is overridden.	Unknown	Unknown	
Pharm 01.048	The solution should support a reason for an alert override based on CCHCS criteria and/or alert level e.g. allows alerts to be customized according to the level of severity.	Unknown	Unknown	
Pharm 01.049	The solution should allow alerts to be customized according to CCHCS criteria.	Unknown	Unknown	
Pharm 01.050	The solution should provide documentation of medication errors and adverse drug reactions.	Unknown	Unknown	
Pharm 01.051	The solution should automatically suspend order processing and provide on-line notification if any interaction occurs.	Unknown	Unknown	
Pharm 01.052	The solution should allow interactions to be overridden depending on user's security level.	Unknown	Unknown	
Pharm 01.053	The solution should provide checking for levels of interaction severity.	Unknown	Unknown	
Pharm 01.054	The solution should provide on-line pharmacokinetic dosing/assessment.	Unknown	Unknown	
Pharm 01.055	The solution should automatically check for max/min doses per body weight or body surface area during the order entry process.	Unknown	Unknown	
Pharm 01.056	The solution should automatically check for maximum fluid rate during the order entry process.	Unknown	Unknown	
Pharm 01.057	The solution should automatically check for inappropriate administration schedule (e.g., TID for extend release) during the order entry process.	Unknown	Unknown	
Pharm 01.058	The solution should automatically display side effects during the order entry process.	Unknown	Unknown	
Pharm 01.059	The solution should display termination date and time of current orders during the order entry process.	Unknown	Unknown	
Pharm 01.060	The solution should support dose calculations for "odd doses".	Unknown	Unknown	
Pharm 01.061	The solution should provide on-line programs for vasopressor calculations and flow sheets.	Unknown	Unknown	
Pharm 01.062	The solution should provide entry of parole/release orders.	Unknown	Unknown	
Pharm 01.063	The solution should provide on-line entry of tapered orders.	Unknown	Unknown	
Pharm 01.064	The solution should provide on-line entry of alternating orders.	Unknown	Unknown	
Pharm 01.065	The solution should provide on-line entry of non-formulary orders.	Unknown	Unknown	
Pharm 01.066	The solution should provide on-line entry of floor stock orders.	Unknown	Unknown	
Pharm 01.067	The solution should provide on-line entry of physician standing order sets.	Unknown	Unknown	
Pharm 01.068	The solution should provide standing order functionality with unlimited number of Meds, IV/LVP, IVPB, etc.	Unknown	Unknown	
Pharm 01.069	The solution should provide standing order functionality with separate pre-defined fields for all orders.	Unknown	Unknown	
Pharm 01.070	The solution should provide standing order functionality with compound orders such as a profile composed of separate formulary items.	Unknown	Unknown	
