D	Gemini 8-m Telescopes Project
2	General Description
2.5	User-level requirements
2.5.8	User Needs
2.5.9	Users of the System
2.5.9.1	Astronomers and Observers
2.5.9.2	Operations Staff
2.6	Operational context
2.6.4	Multi-user context
2.7	Observing mode requirements
2.7.1	Interactive observing
2.7.2	Queue-based
2.7.3	Remote operations
2.7.4	Service
2.8	Observing Support
2.8.1	Planned Observing
2.9	General software requirements
2.9.1	Control information flow
2.9.2	Astronomical data flow
2.9.2.1	Requirements
2.9.2.1.1	Data flow
2.9.2.1.2	Concurrent data access and display
2.9.3	Video information flow
2.10	Operation Privileges, Protections, and Procedures
2.11	General performance and reliability requirements
2.11.1	Capacity
2.11.2	Response time
2.11.3	Availability
2.12	Test and checkout requirements
2.13	Contingencies
2.13.1	Fault noti®cation
2.13.2	Fault tolerance
2.13.3	Redundancy
2.14	Constraints
2.14.1	User constraints
2.14.3	Softwar e constraints
2.14.4	Design constraints
3	General Requir ements
3.1	Data Speci®cations
3.1.1	Contr ol Information Flow
3.1.2	Astr onomical Data Flow
3.1.2.1	Data flow
3.1.2.2	Data flow
3.2	Operation
3.2.1	Operation levels
3.2.1.3	Test Level
3.2.2	privilege and pr otection levels
3.2.3	Capacity
3.2.5	Procedures
3.3	External Interface Requirements
3.3.1	User Interfaces (UIF)
3.3.2	Har dware interfaces
3.3.3	Softwar e interfaces
3.3.3.1	On-line Image Processing Interfaces
3.3.3.2	On-line Access to Catalogues and Previous Data
3.3.3.3	Access to Other Packages
3.3.4	Communication interfaces
3.3.4.1	Local Area Network (LAN)
3.4	General Constraints
3.4.2	Hardware constraints
3.4.3	Software constraints
3.5	Attributes
3.5.3	Reliability and Availability
3.5.3.1	Reliability and Availability Requirements
3.5.4	Maintainability
3.5.4.1	Maintainance Requirements
3.5.4.6	Quantitative Maintainance Requirements
3.5.5	Human Engineering
3.5.6	Security and Safety
3.5.6.2	Security and Safety Requirements
3.5.9	Modularity
3.5.10	Contingencies
3.8	Installation Aspects
4	Speci®c Requir ements
4.1	Attributes
4.1.2	Modularity
4.2	Other Controls and Software Requirements
4.2.1	On-line database subsystems
4.2.2	Communication subsystems
4.2.4	System operational requirements
4.2.4.1	Normal Operation
4.2.4.2	Operation in Failure Mode
4.2.5	Standards
4.2.5.1	Software Standards
4.2.5.1.1	Software Methods
4.2.5.1.2	Operating Systems
4.2.5.2	Hardware Standards
4.2.5.4	Communication Hardware
