D	HATS Graphical User Interface
1	INTRODUCTION
1.1	PURPOSE AND INTENDED AUDIENCE
1.2	SCOPE OF PRODUCT
2	GENERAL DESCRIPTION
2.1	PRODUCT FEATURES
2.1.1	Management Of Applications
2.1.2	Parsing Of Transformation Language Programs and Target Files
2.1.3	Execution of Transformation Language Programs
2.1.4	Examination of SDT and Pretty-Printed Output From Transformations
2.2	USE CASES
3	SPECIFIC REQUIREMENTS
3.1	EXTERNAL INTERFACE REQUIREMENTS
3.1.1	User Interfaces
3.1.3	Software Interfaces
3.1.3.1	HATS-SML
3.1.3.2	Host OS
3.2	BEHAVIORAL REQUIREMENTS
3.2.1	Related Real-world Objects
3.2.1.1	Application
3.2.1.2	Input and Output
3.2.1.4	Display Windows
3.2.2	Stimulus/Response
3.2.2.1	Menu Items
3.2.2.1.1	File Menu
3.2.2.1.2	Application Menu
3.2.2.1.3	Configure Menu
3.2.2.1.4	Run Menu
3.2.2.1.5	View Menu
3.2.2.2	Mouse and Keyboard actions
3.2.2.3	HATS-SML Completion
3.2.3	Related Features
3.2.3.1	Prepare Application
3.2.3.2	Parse/Execute Transformation
3.2.3.3	Display Transformation Output
3.2.3.3.1	Displayed Node and Text Selection
3.2.3.3.2	Display Windows
3.2.3.3.3	Display of SDTs
3.2.3.3.4	Navigation
3.2.3.3.5	Display of Pretty-Printed Text
3.2.3.3.6	Display of Errors
3.2.3.3.7	Display of SDT and Pretty-Printed Text from Common Target file
3.3	NON-BEHAVIORAL REQUIREMENTS
3.3.1	Performance Requirements
3.3.2	Qualitative Requirements
3.3.2.1	Security
3.3.2.2	Portability
3.3.3	Design and Implementation Constraints
