D	California Correctional Health Care Services (CCHCS) Emergency Medical Response (EMR) System 
1.1	ISO AC
1.2	ISO AU
1.3	ISO IA
1.4	ISO SC
2	Audit Reviews HIPAA 164.312(b)
3	Disaster Recovery HIPAA 164.308(a)(7)
4	Security Plan, NIST 800-18
5	System Documentation ISO-27002 10.7.4
6	Information Classification ISO-27002 7.2
7	Roles and Responsibilities HIPAA 164.308(a)(3)(ii)(B) ISO-27002 8.1.1
8	Incident Response Plan ISO27002 - 13
9	Account Reconciliation 164.308(a)(3)(ii)(A) 164.308(a)(4)(i) 164.308(a)(4)(ii)(B) 164.308(a)(5)(ii)(C)
10	IDS/IPS ISO-27002 11.4.4
11	Encryption 164.308(a)(3)(ii)(A) 164.308(a)(4)(ii)(B) 164.308(a)(4)(ii)(C) 164.310(a)(2)(iii) 164.310(b) 164.312(a)(1) 164.312(a)(2)(i) 164.312(a)(2)(ii) 164.312(a)(2)(iv)
12	Isolation ISO-27002 11.6.1
13	Data Access ISO-27002 11.6.1
14	Authentication HIPAA 164.308(a)(5)(ii)(D) ISO-27002 11.4.2
15	System Privilege HIPAA 164.308(a)(4)(ii)(B-C)
16	Role Based HIPAA 164.308(a)(4)(ii)(B-C)
17	Protection of PHI/PI ISO-27002 11.4.1 and 11.4.2
18	Vulnerability Management HIPAA 164.308(a)(5) ISO-27002 12.6
19	Penetration Testing HIPAA 164.308(a)(5) ISO-27002 12.6
20	Strong Authentication HIPAA 164.308(a)(5)(ii)(D)
