filename,keys,requirement
0000 - cctns.txt,G.D0.1.1,The solution should provide detailed context-sensitive help material for all the possible actions and scenarios on all user interfaces in the application.
0000 - cctns.txt,G.D0.1.2,The help should be accessible to the users both in the offline and online mode.
0000 - cctns.txt,G.D0.2.1,The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.
0000 - cctns.txt,G.D0.2.2,"The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert"
0000 - cctns.txt,G.D0.2.3,The solution should enable the user to track the submitted defect or enhancement request.
0000 - cctns.txt,G.D0.2.4,"The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category- wise, status-wise, and age-wise."
0000 - cctns.txt,G.D0.2.5,The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.
0000 - cctns.txt,G.D0.3.1.1,"The System must keep an unalterable audit trail capable of automatically capturing and storing information about all the actions (create/read/update/delete) that are taken upon the critical entities (case, suspect, property, …) in the system"
0000 - cctns.txt,G.D0.3.1.2,The System must keep an unalterable audit trail capable of automatically capturing and storing information about the user initiating and or carrying out the action;
0000 - cctns.txt,G.D0.3.1.3,The System must keep an unalterable audit trail capable of automatically capturing and storing information about the date and time of the event.
0000 - cctns.txt,G.D0.3.1.4,The System must keep an unalterable audit trail capable of automatically capturing and storing information about administrative parameters
0000 - cctns.txt,G.D0.3.2,"Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them."
0000 - cctns.txt,G.D0.3.3,"The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers."
0000 - cctns.txt,G.D0.3.4,"The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system."
0000 - cctns.txt,G.D0.3.5,The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System). This functionality can be used by external auditors who wish to examine or analyse system activity.
0000 - cctns.txt,G.D0.3.6,"The System must be able to capture and store violations (i.e. A user’s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms."
0000 - cctns.txt,G.D0.3.7,"The System must at a minimum be able to provide rep orts for actions on cases organised by case, user, and in chronological sequence."
0000 - cctns.txt,G.D0.3.8,The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.
0000 - cctns.txt,G.D0.4.1,The System must allow the user to limit access to cases to specified users or user groups.
0000 - cctns.txt,G.D0.4.2,The system should provide for role-based control for the functionality within the system.
0000 - cctns.txt,G.D0.4.3,The System must allow a user to be a member of more than one group.
0000 - cctns.txt,G.D0.4.4,The System must allow only admin-users to set up user profiles and allocate users to groups.
0000 - cctns.txt,G.D0.4.5,The System should allow a user to stipulate which other users or groups can access cases.
0000 - cctns.txt,G.D0.4.6,"The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user."
0000 - cctns.txt,G.D0.4.7,"If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time): • display title and metadata; • display the existence of a case but not its title or other metadata; • do not display any case information or indicate its existence in any way. These options are presented in order of increasing security.  Note that the requirement in the third option (i.e. the most stringent) implies that the System must not include such cases in any count of search results; this level of security is normally appropriate for cases dealing with matters such as national security."
0000 - cctns.txt,G.D0.4.8,"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access."
0000 - cctns.txt,G.D0.4.9,"If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail."
0000 - cctns.txt,G.D0.4.10,"Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery."
0000 - cctns.txt,G.D0.5.1,"All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them. Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error."
0000 - cctns.txt,G.D0.5.2,"The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application."
0000 - cctns.txt,G.D0.5.3,"The System must be able to display several entities (cases, suspects) simultaneously."
0000 - cctns.txt,G.D0.5.4,"The interfaces must be made customizable or user-configurable to the extent possible. (e.g., the displayed columns in the table, move, resize, modify the appearance). Such configurations must be saved in the user profile."
0000 - cctns.txt,G.D0.5.5,"The System user interface must be suitable for user s with special needs; that is, compatible with specialist software that may be use d and with appropriate interface guidelines"
0000 - cctns.txt,G.D0.5.6,The System must provide End User and Administrator functions which are easy to use and intuitive throughout.
0000 - cctns.txt,G.D0.5.7,"The System must allow persistent defaults for data entry where desirable.  These defaults should include: • user-definable values; • values same as previous item; • values derived from context, e.g. date, file reference, user identifier;"
0000 - cctns.txt,G.D0.5.8,Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g.  mouse clicks).
0000 - cctns.txt,G.D0.5.9,"Where the System employs a graphical user interface, it must allow users to customise it. Customisation should include, but need not be limited to the following changes: • menu contents; • layout of screens; • use of function keys; • on-screen colours, fonts and font sizes;"
0000 - cctns.txt,G.D0.6.1,The user interfaces should be designed to make them user-intuitive.
0000 - cctns.txt,G.D0.6.2,The user interfaces of the system should comply with Standard ISO 9241.
0000 - cctns.txt,G.D0.6.3,ICT accessibility: ISO 9241-20 shall be the standard for guidance on ICT accessibility. Application user interfaces to meet its requirements and recommendations. Software accessibility ISO 9241-17 1 shall be the standard for guidance on software accessibility. User interfaces should meet its requirements and recommendations. Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility. The application logo to be available on all pages as a link to the home page.
0000 - cctns.txt,G.D0.6.4,"Providing text equivalents for non-text media objects: All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality."
0000 - cctns.txt,G.D0.6.5,"Making navigation self-descriptive: Navigation should be designed to help users understand where they are, where they have been and where they can go next. General guidance on achieving self-descriptiveness is given in ISO 9241-110."
0000 - cctns.txt,G.D0.6.6,Showing users where they are: Each presentation segment (page or window) should provide the user with a clear and sufficient indication of where he or she is in the navigation structure and of the current segment position with respect to the overall structure.
0000 - cctns.txt,G.D0.6.7,Offering alternative access paths: Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.
0000 - cctns.txt,G.D0.6.8,"Minimizing navigation effort: The number of navigation steps needed to reach a certain piece of content should be minimized as long as different mental models, navigation strategies and tasks of the user are taken into account."
0000 - cctns.txt,G.D0.6.9,"Splash screens should be avoided unless they provide useful content or feedback about the application state to the user. If a splash screen is used, a navigation option to skip it should be offered."
0000 - cctns.txt,G.D0.6.10,"Avoiding opening unnecessary windows: Additional windows such as new browser windows or pop-up windows should only be opened if this supports the user’s task. Opening new windows can distract, confuse or impede users for a variety of reasons. They can superimpose the primary window, hiding relevant information. They could make it cognitively more difficult to understand the navigation structure with negative effects on both usability and accessibility. They also require additional user actions for closing unwanted windows."
0000 - cctns.txt,G.D0.6.11,Vertical scrolling should be minimized. This may be done by placing important information at the top and providing links to information that is further down the page. Horizontal scrolling should be avoided wherever possible.
0000 - cctns.txt,G.D0.6.12,"Designing for input device independence: User interfaces should be designed to allow activation of controls by a variety of input devices. The ability to choose between different input devices for activating controls such as links, fields and buttons is important both for users who prefer a certain input mode, mobile users and users with disabilities. In general, device independence can be achieved if the functionality is operable via a keyboard."
0000 - cctns.txt,G.D0.6.13,Making user interfaces robust: User interfaces should be designed to be as robust as possible in the face of changing technology. This encompasses being able to present content containing newer technologies by older user agents as well as designing content to be usable with future technologies.
0000 - cctns.txt,G.D0.6.14,"Acceptable opening / download times: Application pages should be designed and implemented so that there are acceptable opening times and download times for the expected range of technical contexts of use (e. g. bandwidth between the application and the user). This is particularly important for frequently accessed pages or pages that are important for user navigation and exploration, such as the home page."
0000 - cctns.txt,G.D0.6.15,Minimizing user errors:  Potential user errors as well as the effort needed to recover from errors should be minimized.
0000 - cctns.txt,G.D0.6.16,"Providing clear error messages: The content of error messages shown on the pages or special error pages should clearly state the reason why the error occurred and, if possible, actions the user can take to resolve the error. Users expect error messages to be in the same language as the user interface."
