4.1.1	Level 0 has the permission to create requests only.
4.1.2	Level 1 can control the assets and locations that he owns.
4.1.3	Level 2 can control the assets and locations that owns and get all level1 permissions.
4.1.4	Level 3 can control the assets and locations that owns and get all level2 permissions.
4.1.5	Level 1, 2 and 3 can delegate some or all of their permission to any user.
4.1.6	Level 4 has all possible permissions. Level 4 for can create and assign permission to a new groups.
5.1.1	Within the same department: data base can be updated directly without any request.
5.1.2	Inter departments: request must be approved by a DA group member and faculty group member unless it came from a higher level group.
5.1.3	Inter faculties transfer: request can be made by any authorised user and approved by faculty group or higher level.
5.1.4	Transfer outside university should be approved by the university group.
5.2.1	Any administrative level user or inventory user can edit an asset that belongs to its department; same thing for faculty user, or university user;  in order to make modification if he is authorised to do it.
5.3.1	all fields of an edited asset can be modified except Ids.
5.3.2	a bulk entry file can be used.
5.4.1	Any DA group member or authorised inventory group member asset is owned by the department.
5.4.2	Any faculty member can add all related departments inventory.
5.4.3	Any university group member can add all assets in the inventory.
5.4.4	A bulk entry can be used to add many assets.
5.5.1	request can be made by any authorised user.
5.5.2	After creation a request still pending waiting to be approved by an administrative level user according to that have this authority.
5.6.1	An inventory user should check returned asset and update inventory.
5.7.1	IT group members can create a new space and modify floor structure when they receive an exception request from any administrative level.
5.8.1	Any administration level or authorised inventory group member can display all pending requests waiting for approval from this level and approve those requests.
5.8.2	When request is treated user is notified by email.
5.8.3	Request is added to the waiting for execution list.
5.8.4	Inventory is updated when user receive requested asset.
5.9.1	Authentication is made by user name and a password for all users.
5.9.2	administrative level working on administration computer.
5.10.1	Any administrative level user can delegate another user to execute some or all his authorized actions. And this user acquires the role of inventory administrator.
6.1.1	It is mandatory that learning time is between 2 to 4 hours at maximum, because many task are delegated to working students.
6.1.2	Web interface should use clear and consistence terminology in such a way that user; with basic experience on internet and office; find the application easy to use.
6.2.1	The Application should be available always at working hours. Any maintenance or backup operation should be conducted out of working time.
6.3.1	The Application should be installed in any Microsoft or Unix platform.
6.3.2	Web application should available to run on browsers like IE, Firefox, Chrome, Opera or Safari.
6.4.1	All user are authenticated by user name and a password.
6.4.2	Permission are assigned to user according to their roles.
6.4.3	Only IT team member can access and maintain data base servers locally.
6.4.4	Query is killed if takes more than 1 min.
6.4.5	Backup operation are executed periodically.
6.5.1	It is important to design system to facilitated future evolution and facilitate maintenance operations.
