3.1.0.1	The CMA shall be able to process digital signals from RPC chambers FE or from aCMA trigger output.
3.1.0.2	The CMA shall be programmable and able to perform the low-pt or the high-pt algo-rithms. The low-pt algorithm shall use information from two doublets, while thehigh-pt will use one doublet plus one CMA trigger output.
3.1.0.3	The CMA shall perform one trigger algorithm (low-pt or high-pt), for three indepen-dent programmable Pt thresholds.
3.1.0.4	The latency of the CMA trigger pipeline shall be as short as possible and shall notexceed 2 BC periods, measured from signal input to trigger output buffers.
3.1.0.5	The trigger latency of the CMA shall be ﬁxed, not depending on the amount of incom-ing data.
3.1.0.6	The CMA shall be able to perform the data readout of RPC chambers
3.1.0.7	The CMA shall contain LVL1 latency and derandomizer buffers.
3.1.0.8	The CMA shall be able to time tag incoming hits with a precision of 1/8 of the BCperiod.
3.1.0.9	The CMA shall contain the following external communication links:- A serial conﬁguration link- A dedicated link to transmit the readout data.- Dedicated signal lines to interface to the TTC system (L1A, BCR, ECR, 40.08 MHzmachine clock).
3.1.0.10	The CMA shall be able to ﬂag internal malfunction, due for example to SEUs, on dedicated output lines.
3.2.0.1	the maximum power dissipation of the CMA per input channel shall not exceed 5 mW(1W total).
3.2.0.2	the CMA initialization control path shall be independent from the readout path.
3.2.0.3	It shall be possible to test the logic in the CMA by comparing the output data with the expected values while test data are being fed into the system at full speed.
3.2.0.4	it shall be possible to operate the CMA in step mode, generating clock cycles one at atime, under control of diagnostic inputs.
3.2.0.5	The use of JTAG in the CMA shall be implemented for boundary scan tests only.
3.2.0.6	The I2C protocol shall be used as the initialization data path.
3.2.0.7	The CMA has to be implemented in a rad tolerant technology, allowing for a safety factor of 5 compared to the expected radiation levels, and assuming 10 years of operation,for the total dose values shown in chapter 2.5, according to [6].
3.2.0.9	Redundancy or special coding on the main control registers shall be applied to improve hardness to SEE.
3.1.1.1	The CMA shall retain in “pipeline” memories, during the latency of the LVL1 trigger,information required to monitor the device during standard operation.
3.1.1.2	The size of the pipeline memory shall be ﬁxed, at the maximum latency of 2.5 µs.
3.1.1.3	For LVL1 selected events, the information discussed in CMA_RO_1 shall be retainedin derandomizing buffer memories
3.1.1.4	The CMA will be designed as to be able to transfer readout data serially, onpoint-to-point links.
3.1.1.5	Zero suppression shall be applied to the data prior to transmission to the PAD.
3.1.1.6	In the operation described in CMA_RO_1, it must be possible to send information forseveral consecutive bunch crossings around the triggered one, the extent of the timeframe shall be programmable up to a maximum time frame lenght of 5 BCs.
3.1.1.7	the CMA shall be able to accept two different LVL1_A which are separated by a minimum interval of 3 BCs, i.e. two consecutive LVL1_A will be separated by a time interval of at least 2 BC periods.
