3.2.3.3.1	NPAC SMS shall allow NPAC personnel to create a new LNP NPA NXX for a Service Provider.
3.2.6..1	NPAC SMS shall, for a mass update request, only send updates for subscription versions that are not filtered on the Local SMS.
3.2.7.1.1	NPAC SMS shall allow NPAC personnel to select Subscription Versions for mass update which match a user defined combination of any of the following: SPID, LNP Type (any single LNP Type or none), TN, TN range (NPA-NXX-xxxx through yyyy, where yyyy is greater than xxxx), LRN, DPC values, SSN values, Billing ID, End User Location Type or End User Location Value, on the NPAC Administrative Interface.  (Previously part of B-760 and B-761)
3.2.7.2.1	NPAC SMS shall allow NPAC personnel to specify a mass update action to be applied against all Subscription Versions selected (except for Subscription Versions with a status of old, partial failure, sending, disconnect pending or canceled) for LRN, DPC values, SSN values, Billing ID, End User Location Type or End User Location Value.
3.2.7.3.1	NPAC SMS shall require at least one selection criteria to be entered for a mass update.
3.2.7.4.1	NPAC SMS shall match the Service Provider Id entered as selection criteria with the New or current Service Provider Id in the Subscription Version.
3.2.7.5.1	NPAC SMS shall create an old Subscription Version with a new version id for an active Subscription Version involved in a mass update before applying changes.
3.2.7.6.1	NPAC SMS shall broadcast no data to the Local SMSs due to the creation of an old Subscription Version with a new version id for an active Subscription Version involved in a mass update before applying changes.
3.2.7.7.1	NPAC SMS shall log an exception and proceed with Mass Update processing upon finding a subscription version in sending, disconnect pending, or partial failed status.
3.2.7.8.1	NPAC SMS shall produce an exception report for NPAC Personnel when requested that lists the Subscription Versions that were exceptions not processed during Mass Update processing.
3.2.7.9.1	NPAC SMS shall require NPAC personnel to specify a Service Provider ID when entering Selection Criteria for a Mass Update.
3.2.13.1	NPAC SMS shall have the capability to identify all Subscription Versions affected by mass changes, (such as NPA splits), and automatically carry out the required updates to modified data in the Local SMSs.
3.2.1.0	NPAC SMS shall allow NPAC Personnel, via a mass update, to update the block holder default routing information (LRN, DPC(s), and SSN(s)), for a 1K Block as stored in the NPAC SMS.  (Previously B-762)
3.2.1.1.1	NPAC SMS shall reject a mass update request by NPAC Personnel, and issue an error message, if the TN Range and LNP Type of either POOL or none, is entered as Selection Criteria, for the requesting Service Provider, and intersects an existing 1K Block, for that requesting Service Provider, as stored in the NPAC SMS, other than Blocks with a status of old.  (Previously B-763)
3.2.1.2.1	NPAC SMS shall reject a mass update request to a Block, if the Block’s status is NOT active, or if the Block Failed SP List contains one or more Service Providers.  (Previously B-764)
3.2.1.3.1	NPAC SMS shall download Number Pooling Block Information, for mass updates, using the Number Pooling Block Object, via the NPAC SMS to Local SMS Interface, when the Service Provider's EDR Indicator is TRUE, at the time of the mass update request.  (Previously B-780)
