3.1.1.1	The BE shall receive LTA or Speed Dump Lag Frames from the Correlator.
3.1.1.2	The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.
3.1.2.1	The BE shall receive, via M&C, State Count data produced by the Correlator.
3.1.2.7	The BE shall receive, via M&C, data and parameters specific to the current EVL A Observational Mode needed for processing the Correlator Lag values.
3.1.2.8	The BE shall receive, via M&C, all meta-data necessary to format BE results for delivery to the E2E.
3.1.2.9	The BE shall provide operational status data to and receive control data from the M&C System. This includes Lag Frame destination addresses and address changes.
3.1.2.10	The BE shall provide error and warning reports to M&C as operating conditions warrant.
3.1.2.11	The BE shall provide several optionally selectable levels of printed messages detailing operational parameters at critical locations in the system.
3.1.3.1	The BE shall deliver formatted final results to the e2e System.
3.1.3.1.1	The BE shall produce all data needed by the e2e System for archiving and further processing. The output is currently expected to be in a form compatible with AIPS++ Measurement Sets.
3.2.1.1	The BE shall acknowledge receipt of all data received from M&C.
3.2.1.2	The BE shall notify M&C of any detected interruptions of data delivery from the Correlator.
3.2.1.3	The BE shall verify successful delivery of output to the e2e.
3.2.1.4	The BE shall guarantee safe delivery of all internal messages.
3.2.1.5	The BE shall be able to handle lag frames of less than 128 values.
3.2.1.6	The BE shall be able to handle lag sets up to a maximum size of 262,144 values.
3.2.2.1	The BE shall receive incoming data packets from the Correlator to Backend network interface. This network is a part of the BE System.
3.2.2.2	The BE shall verify the successful receipt of incoming data from the Correlator. This includes checking for receive errors and determining that all expected data was received, accumulation of error statistics and comparison against tolerances, and reporting of all out of tolerance conditions.
3.2.2.3	The BE shall store input data records in a memory buffer and track buffer locations of all input data until data processing is complete. Report any buffer overflow conditions.
3.2.2.4	The BE shall respond to incoming correlator mode changes, user optional processing sequence and/or parameter changes, and other external inputs that affect the data processing pipeline with new operational conditions.
3.2.2.5	The BE shall assemble the received input data into continuous time series (lag sets) .
3.2.2.6	The BE shall ensure that time series data is correctly ordered and contains valid data values along its entire extent. Compare against tolerances and report all out of tolerance conditions.
3.2.2.7	The BE shall replace all invalid data with zero values.
3.2.2.8	The BE shall keep track of data invalids.
3.2.2.9	The BE shall be able to apply normalizations based on reported data invalid counts.
3.2.2.10	The BE shall be able to apply corrections based on state count and/or quantizer power measurement data. This is the VanVleck correction
3.2.2.11	The BE shall be able to make time stamp adjustments as required by the observational mode and correlator output parameters. This may arise when recirculation is used.
3.2.2.12	The BE shall be able to perform windowing operations prior and subsequent to Fourier Transform . This will be needed for narrow band RFI mitigation. Post Fourier Transform windowing will be applied as a convolution.
3.2.2.13	The BE shall be able to apply user selected time domain processes. These processes should be constructed to be chainable (output of any time domain process can be piped to input of any other, including replica of self and Fourier Transform) and repeatable in the chain. No Optional time domain processes have as yet been proposed.
3.2.2.14	The BE shall be able to perform Fourier Transform the lag set time series. A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used.
3.2.2.14.1	This process must be able to accept as input the output of any of the time domain processes.
3.2.2.15	The BE shall be able to apply user selected frequency domain processes. These processes should be constructed to be chainable (output of Fourier Transform and any frequency domain process can be piped to input of any frequency domain process including replica of self) and repeatable in the chain. No frequency domain processes have as yet been proposed.
3.2.2.16	The BE shall be able to sum the frequency domain, spectral results. The amount (time duration) of summation will be controlled by an observational mode parameter obtained via M&C.
3.2.2.16.1	The BE shall keep track of the number of samples/dumps integrated in each spectral channel.  The summation will occur after all optional frequency domain processing, or if none, after the Fourier Transform. Integration for long periods of time is what will throttle the output of the Correlator to a rate manageable by the E2E.
3.2.2.17	The BE shall combine the finished spectra with meta- and auxiliary data to form suitably formatted output data sets.  AIPS++ Measurement Sets are the expected entities.
3.2.2.18	The BE shall store formatted output data records in a memory buffer with backup disk buffering. Store data ready for transmission to the e2e System until successful transfer has occurred. Report any errors and buffer overflow conditions that occur.
3.2.2.19	The BE shall send output data to the e2e System.
3.2.2.20	The BE shall verify that all sent data was successfully received. Report all errors.
3.2.2.21	The BE shall monitor data transfer rates from EVLA Operations System SRS 12the Correlator and to the e2e. Accumulate data transfer statistics and compare against tolerances. Report all out of tolerance conditions.
3.2.2.22	The BE shall monitor the overall data processing rate. Compare against tolerances and report all out of tolerance conditions.
3.2.2.23	The BE shall trap, flag and repair inf’s, NaN’s, underflows, overflows and other computation errors . Accumulate computation error statistics and compare against tolerances. Report all out of tolerance conditions.
3.2.2.24	The BE shall periodically or upon request check PID’s and assure that all started tasks are alive and running . Report missing, stopped, defunct and other damaged processes.
3.2.2.25	The BE shall periodically or upon request check Backend physical processors and assure that all needed processors are alive and responding. Report all crashed, stopped, or unresponsive processors.
3.2.2.26	The BE shall periodically or upon request check all Backend internal networks and assure that all communication connections are intact and functioning. Report all non-functioning components.
3.2.2.27	The BE shall be able to initiate a processing task on any Backend processor.
3.2.2.28	The BE shall be able to signal a kill for any Backend process.
3.2.2.29	The BE shall be able to alter the priority of any of the BE tasks.
3.2.2.30	The BE shall be able to initiate a reboot of any Backend a physical processor.
3.2.2.31	The BE shall be able to initiate a reboot of any internal network.
3.2.2.32	The BE shall be able to redistribute internal workload among its processors. This may involve change of destination IP address(es) for the Correlator network.
3.2.2.33	BE processes shall not violate archive data requirements. All processes shall be reversible; the raw unconverted input always being recoverable from the output.
3.3.1.1	the Backend System shall maintain input data fidelity and dynamic range across all processing, manipulation and I/O functions.
3.3.1.2	the system shall be capable of flagging and marking corrupted data segments and proceeding without interruption or effect on other data. This includes, but is not limited to, partial data, zero data, underflows, overflows, infinities, and NaN’s whether obtained on input or arising during processing.
3.3.2.1	The BE System shall be capable of accepting an aggregate data input stream from the Correlator of a minimum of 1.6 Gbytes/sec. This must be done simultaneously with the output stream, but not necessarily over the same interconnects. This is an initial deployment specification and will be increased over time.
3.3.2.2	The BE System shall be capable of delivering an output data stream to the e2e System of a minimum of 25 MBytes/sec . This includes resends and simultaneous transfer of data stored due to a previous e2e connection outage. This must be done simultaneously with the output stream, but not necessarily over the same interconnects. This is an initial deployment specification and will be increased over time.
3.3.2.3	The total processor capability of the BE System shall be (combination of numbers of processors and individual processor speed) sufficient to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.
3.3.2.4	The BE System shall have sufficient (amount TBD) memory with sufficient (rate TBD) access speeds to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.
