3.1.1.1	The system shall support an administrator level.
3.1.1.1.1	Requirement Specification: The administrator will have the following privileges: a. Ability to create user groups  such as NCSU TPP.org, GT TPP.org b. Ability to create project managers, analysts and guests c. Ability to reset user passwords when needed d. Ability to disable access for old project managers, analysts and guests. Removing old users implies removing their ability to access the system while still preserving the information entered by them.
3.1.1.2	The system shall support a project manager level.
3.1.1.2.1	The project manager will have the following privileges: a. Ability to insert a new privacy policy to the repository b. Ability to delete a privacy policy from the repository c. Ability to create/add a new domain of privacy policies (e.g, Healthcare, financial, e-commerce, federal agency, etc.) d. Ability to assign analysts to user groups  created by the administrator e. Ability to assign usergroups  and individual analysts to projects f. Project manager sets restrictions on access to certain kinds of information for guests g. Ability to export data from a project to an XML file so multiple project managers can use that data h. Ability to save the current version of the repository so that we can do evolution analysis
3.1.1.3	The system shall support an analyst level.
3.1.1.3.1	An analyst will have the following privileges:  a. Ability to select a privacy policy that has been assigned to them by the project manager. b. Ability to add, delete and update goals c. Ability to add, delete and update scenarios  d. Ability to view the details of any goal or a scenario in the repository such as ID, description, source, keyword, taxonomy, actor, occurrence, relevant policy etc. e. Ability to update personal profile such as name, ID, contact information, usergroups  and passwords f. Ability to add, delete and update requirements g. Ability to add, delete and update access control policies such as subject, object, action. h. Ability to view access control policies
3.1.1.4	The system shall support a guest level.
3.1.1.4.1	The guest will have the following privileges:  a. Ability to view kinds of information in the repository with restrictions set by the project manager. For instance, if a guest is given access permission to a certain privacy policy, he/she will not be able to view goa and scenario occurrences related to other privacy policies in the repository.
3.1.2.1	The system shall allow all users to have different access levels to the projects.
3.1.2.1.1	Each user will have different projects to work on as well as different access levels that will allow them certain privileges within the project.
3.1.2.2	The system shall allow secure storage of passwords in the database.
3.1.2.2.1	The system will provide secure storage of passwords of all users in the database.
3.1.2.3	The system shall allow users to securely log onto the system.
3.1.2.3.1	The system will provide secure way for users to log onto the system.
3.2.1.0	The system shall allow analysts to add a new goal.
3.2.1.1	The system will allow analysts to enter a new goal into the system as new goals are identified.
3.2.1.1.1	Following are the necessary elements for each goal: a. Goal ID b. Goal Description (not long) c. Taxonomy Classification 1. Protection - Notice/Awareness - Choice/Consent - Security/Integrity - Access/Participation  - Enforcement/Redress 2. Vulnerability - Information Monitoring - Information Aggregation - Information Storage - Information Transfer  - Information Collection - Information Personalization - Contact d. Subject Classification  - Business Aggregation - Browsing Pattern/Site Usage - CC Information  - Children - Customer Information (CI) - Contacting Customer - Contact Institutions - Cookies/Web bugs - Customer System Information - Customer Aggregation - General Information - General User Preference - Identity Theft/Fraud - Law (HIPAA, COPPA, GLBA) - Liability/Responsibility - OPT in /out preferences - Personal Financial Information (PFI) - Personal Health Information (PHI) - Personally Identifiable Information (PII) - PFI/PHI/PII Usage - Policies/Procedures - PP/ToU - Security Access e.  Goal Actor f. Policy in which the goal was found g. Granularity Classification (Policy or Scenario goal) h. Observable/Unobservable i. Occurrences j. Context Information (for the goal) k. Relevant Legislation (e.g, HIPAA, COPPA, GLBA)
3.2.1.2	The system shall provide templates for goals, scenarios, P3P statements, EPAL rules and access control policies.
3.2.1.2.1	These templates will allow analysts to enter detailed information about each goal, scenario, P3P statement, EPAL rule and access control policy that they enter into the tool.
3.2.1.3	The system shall allow analysts to classify goals.
3.2.1.3.1	The system will allow the administrator, project manager and analysts to classify goals in the following categories: a. Policy goals or scenario goals b. Observable goals or unobservable goals c. Protection goals or vulnerabilities d. Goals based on subject classification
3.2.1.4	The system shall allow multiple subject classifications for each goal.
3.2.1.4.1	The system will allow analysts to choose multiple subject classifications for each goal. For instance, a goal could be a part of ‘security access’ as well as ‘personal health information.’
3.2.1.5	The system shall provide the ability to dynamically add a new classification type of goals to the tool.
3.2.1.5.1	The system will allow the project manager to add a new classification type of goals.
3.2.1.6	The system shall allow the analysts to request a new classification type of goals and also allow the project manager to create that classification type.
3.2.1.6.1	The system shall allow the analysts to request a new classification type of goals and also allow the project manager to create that classification type.
3.2.1.7	The system shall provide the ability to update an existing goal.
3.2.1.7.1	The system will analysts to edit an existing goal in the system.
3.2.1.8	The system shall provide the ability to delete a goal.
3.2.1.8.1	The system will analysts to delete an existing goal from the repository.
3.2.1.9	The system shall provide the ability to automatically propagate associated policy information upon  deletion or replacement of a goal.
3.2.1.9.1	The system will provide a way to merge goals into policies to reduce time spent on the goal reconciliation process. For instance, if goal A is deleted from the repository and replaced by a new goal B, all the policies where goal A appeared should be updated automatically to include goal B.
3.2.1.10	The system shall maintain traceability links between a goal and the policy from which the goal was derived.
3.2.1.10.1	The system will allow analysts and guest to choose a goal and then the system will display all the policies in which that particular goal appears.
3.2.1.11	The system shall provide the ability to display the number of occurrences of a goal in a policy, in multiple policies and within a domain.
3.2.1.11.1	The system will allow analysts and guest to choose a policy and a goal and then the system will allow analysts and guests to view the total occurrences of that particular goal in the chosen policy.
3.2.1.12	The system shall provide the ability to display the number of different goals that occur in a policy.
3.2.1.12.1	The system will allow analysts and guests to choose a policy and then the system will allow analysts and guests to view the number of different goals that occur in that policy. For instance, if the user chooses a health policy and there were 4 different goals found in that policy then the system will display 4. However, the policy might have those 4 goals repeated a number of times.
3.2.1.13	The system shall display the context of a goal.
3.2.1.13.1	The system will allow analysts and guests to choose a goal and the system will then allow analysts and guests to view the context of the goal, which is the actual statement from the policy in which the goal originally appeared.
3.2.1.14	The system shall allow analysts to create and update goal keyword definitions and allow guests to view keyword definitions.
3.2.1.14.1	The system will provide a way to display the definition of the goal keywords in the SPRAT for convenient access. For instance, the keyword ‘ALLOW’ will have its definition associated with it. Additionally, the system will provide the ability to access these definitions in a separate section.
3.2.1.15	The system shall provide the ability to lock and unlock the keyword definition by either the project manager or the first person who created the definition in the repository.
3.2.1.15.1	The system shall provide the ability to lock and unlock the keyword definition by either the project manager or the first person who created the definition in the repository.
3.2.1.16	The system shall allow analysts and guests to search goals according to analyst chosen attributes.
3.2.1.16.1	The system will generate a list of all goals that have the same source, actor, subject etc. upon analyst’s request. This will allow the analyst to determine effects caused by a change in conditions or can provide quick feedback on what goals need further elaboration.
3.2.1.17	The system shall allow analysts to view elements of a goal returned by a query.
3.2.1.17.1	The system will provide analysts the ability to view full details of any goal returned by a query.
3.2.1.18	The system shall provide a template to express goals in BNF grammar.
3.2.1.18.1	This template will conform to the BNF grammar of allowable structure. E.g.,  <Goal> ::= <keyword> <subject> <action>;
3.2.1.19	The system shall support conflict identification and resolution.
3.2.1.19.1	The system will provide a mechanism to automate the identification of conflicts between requirements and privacy policies.
3.2.1.20	The system shall allow analysts to view scenarios associated with individual scenarios.
3.2.1.20.1	When the analyst views the full details of a scenario, the system will indicate the goals that are shared among scenarios.
3.2.1.21	The system shall provide a P3P dedicated section in the  tool.
3.2.1.21.1	The elements of the section will include: specification, rationale, a drop down box with options such as yes, no or partial.
3.2.1.22	The system shall provide an EPAL dedicated section in the tool.
3.2.1.22.1	The elements of the section will include: specification, rationale, a drop down box with options such as yes, no or partial.
3.3.1.1	The system shall allow project managers to add analysis documents and assign a domain to each document.
3.3.1.1.1	The system will allow the project manager to add policies documents repository and assign a domain to each document. The domain could be healthcare, financial or e-commerce.
