4.1.6.101	The Clarus  system shall implement quality checking processes as soon as data become available.
4.1.6.101.1	The CAS shall be able to configure schedules for executing QChS.
4.1.6.151	The Clarus  system shall record the methods applied when deriving quality checking information.
4.1.6.151.1	The CAS shall record the quality checking methods used.
4.1.6.155	The Clarus  system shall be able to implement quality checking rules for each environmental parameter.
4.1.6.155.1	The CAS shall be able to configure the quality checking rules for each environmental parameter.
4.1.6.155.2	The CAS shall enable administrators to manage quality checking rules.
4.1.6.161	The Clarus  system shall be able to implement quality checking rules for specific environmental situations.
4.1.6.161.1	The CAS shall be able to configure quality checking rules for specific environmental situations.
4.1.6.163	The Clarus  system shall be able to implement quality checking rules specific to observation locations.
4.1.6.163.1	The CAS shall be able to configure quality checking rules specific to observation locations.
4.1.6.171	The Clarus  system shall be able to base its quality checking process on historical environmental data.
4.1.6.171.1	The CAS shall be able to configure historical environmental data to be used by quality checking processes.
4.1.6.175	The Clarus  system shall be able to use multiple algorithms for its quality checking process.
4.1.6.175.1	The CAS shall be able to configure multiple algorithms to be used in the quality checking process.
4.1.6.213	The Clarus  system shall allow access to new surface transportation-related environmental data.
4.1.6.213.1	The CAS shall be configurable to allow new observation types to be implemented as they become available.
4.1.6.806	The Clarus  system shall enable administrators to manage security groups.
4.1.6.806.1	The CAS system shall enable administrators to manage security group members.
4.1.6.806.2	The CAS shall have an administrator security group.
4.1.6.806.3	The CAS shall have a quality manager security group.
4.1.6.811	The Clarus system shall be able to restrict environmental data publication based on source.
4.1.6.811.1	The CAS shall be able to record data sharing restrictions.
4.1.6.901	The Clarus  system shall record statistics about its operation.
4.1.6.901.1	The CAS shall record statistics about the system operation.
4.1.6.905	The Clarus  system shall log data transactions.
4.1.6.905.1	The CAS shall log data transactions.
4.1.8.120	The Clarus  system shall acquire, process, and disseminate environmental metadata.
4.1.8.120.1	The CAS shall manage contributor metadata.
4.1.8.120.2	The CAS shall manage collector metadata.
4.1.8.120.3	The CAS shall manage quality checking schedules.
4.1.8.120.4	The CAS shall manage environmental data collection schedules.
4.1.8.120.5	The CAS shall manage ESS metadata.
4.1.9.32	The Clarus  system shall manage environmental data and metadata according to the Clarus  data sharing agreements.
4.1.9.32.1	The CAS shall manage data sharing rules based on contributor data sharing agreements.
4.2.6.100	The Clarus system shall collect, quality check, and disseminate environmental data.
4.2.6.100.1	The CAUI shall be able to initiate CS on demand.
4.2.6.111	The Clarus  system shall provide environmental data quality flags.
4.2.6.111.1	The CAUI shall enable a quality manager to apply manual flags to a set of observations from an individual ESS.
4.2.6.111.2	The CAUI shall enable a quality manager to apply manual flags to a set of observations.
4.2.6.111.3	The CAUI shall enable a quality manager to apply manual flags to a set of observations over a fixed time range.
4.2.6.111.4	The CAUI shall enable a quality manager to apply manual flags to a set of observations over a time range with an open ended future time.
4.2.6.141	The Clarus  system shall allow human quality checks of environmental data.
4.2.6.141.1	The CAUI shall allow a quality manager to apply a manual quality flag to environmental data.
4.2.6.141.3	The CAUI shall allow manual quality flags to be entered.
