3.1.3.1	Users are limited to Windows XP, Vista or Mac- OS
3.1.3.2	Users are limited to Internet Explorer, Mozilla Firefox and Safari internet browsers
3.1.3.3	Users must have pop-up windows enabled on their systems
3.1.3.4	Users must enable java scripts on their systems to be able to install Instant-Edu messaging software
3.1.3.5	Users must have antivirus software installed so they can scan the incoming files from other users of the system
3.2.3.1	Users are limited to Windows XP, Vista or Mac- OS
3.2.3.2	Users are limited to Internet Explorer, Mozilla Firefox and Safari internet browsers
3.2.3.3	Users must have pop-up windows enabled on their systems
3.2.3.4	Users must enable java scripts on their systems to be able to install Instant-Edu messaging software
3.2.3.5	Users must be connected on a high speed internet (DSL, Cable)
3.2.3.6	Users must have their computers equipped with microphone and web camera.
3.3.3.1	Users are limited to Windows XP, Vista or Mac- OS
3.3.3.2	Users are limited to Internet Explorer, Mozilla Firefox and Safari internet browsers
3.3.3.3	Users must have pop-up windows enabled on their systems
3.3.3.4	Users must have web cam and microphone if they want to be able to create an introducing video of themselves on their profile page
3.3.3.5.1	Users need Windows XP, Vista, or Mac OS
3.3.3.5.3	Users need Internet Explorer, Mozilla Firefox, or Safari browser.
3.3.3.5.4	Users must enable pop-up windows.
3.5.3.1	FTP management software on the server setup with quota space, user authentication, and appropriate user rights.
3.5.3.2	For the first release, each student needs a quota space of 2GB.  Files causing the quota to be exceeded should not be allowed to upload.
3.5.3.3	The students overall login should allow them access to the appropriate folder, and their account should only have Read, Write, and Delete privileges
3.5.3.4	Firewall ports may need to be unblocked on both sides to accommodate file transfers.
3.5.3.5.3	Users need Internet Explorer, Mozilla Firefox, or Safari browser.
3.5.3.5.4	Users must enable pop-up windows.
3.6.3.1	FTP management software on the server setup with quota space, user authentication, and appropriate user rights.
3.6.3.2	For the first release, each class needs a private folder with Write permissions only for student logins.
3.6.3.3	The professor’s username should allow them access to the class exam folder and have Read, Write, and Delete privileges.
3.6.3.4	Firewall ports may need to be unblocked on both sides to accommodate file transfers.
3.6.3.5	Students need Excel installed and/or a PDF reader.  Professors need Excel and a PDF creator.
3.6.3.6.2	Users need Windows XP, Vista, or Mac OSX
3.6.3.6.3	Users need Internet Explorer, Mozilla Firefox, or Safari browser.
3.6.3.6.4	Users must enable pop-up windows.
3.6.3.6.5	Users need Microsoft Office or the related Mac program set.
3.7.3.1	FTP management software on the server setup with quota space, user authentication, and appropriate user rights.
3.7.3.1.1	For the first release, each class needs a private folder with Write permissions only for student logins.
3.7.3.1.2	The professor’s username should allow them access to the class exam folder and have Read, Write, and Delete privileges.
3.7.3.1.3	Firewall ports may need to be unblocked on both sides to accommodate file transfers.
3.7.3.1.4	Students need Excel installed and/or a PDF reader.  Professors need Excel and a PDF creator.
3.7.3.2.2	Users need Windows XP, Vista, or Mac OSX
3.7.3.2.3	Users need Internet Explorer, Mozilla Firefox, or Safari browser.
3.7.3.2.4	Users must enable pop-up windows.
3.7.3.2.5	Users need Microsoft Office or the related Mac program set.
3.8.3.1	Users are limited to Windows XP, Vista or Mac- OS.
3.8.3.2	Users are limited to Internet Explorer, Mozilla Firefox and Safari internet browsers.
3.8.3.3	Users must have pop-up windows enabled on their systems.
3.9.3.1	Users are limited to Windows XP, Vista or Mac- OS.
3.9.3.2	Users are limited to Internet Explorer, Mozilla Firefox and Safari internet browsers.
3.9.3.3	Users must have pop-up windows enabled on their systems.
3.10.3.1	Users are limited to Windows XP, Vista or Mac- OS
3.10.3.2	Users are limited to Internet Explorer, Mozilla Firefox and Safari internet browsers
3.10.3.3	Users must have pop-up windows enabled on their systems
3.10.3.4	Users must enable java scripts on their systems to be able to install Instant-Edu messaging software
3.10.3.5	Users must have antivirus software installed so they can scan the incoming files from other users of the system
3.11.3.1	Users are limited to Windows XP, Vista or Mac- OS
3.11.3.2	Users are limited to Internet Explorer, Mozilla Firefox and Safari internet browsers
3.11.3.3	Users must have pop-up windows enabled on their systems
3.11.3.4	Users must enable java scripts on their systems to be able to install Instant-Edu messaging software
3.11.3.5	Users must have Real Player installed on their systems
3.12.3.1	Users are limited to Windows XP, Vista or Mac- OS
