1.1.1	The system shall create a single patient record for each patient.
1.1.2	The system shall associate (store and link) key identifier information (e.g., system ID, medical record number) with each patient record.
1.1.3	The system shall provide the ability to store more than one identifier for each patient record.
1.1.4	The system shall provide a field which will identify patients as being exempt from reporting functions.
1.1.5	The system shall provide the ability to merge patient information from two patient records into a single patient record.
1.2.1	The system shall provide the ability to include demographic information in reports.
1.2.2	The system shall provide the ability to maintain and make available historic information for demographic data including prior names, addresses, phone numbers and email addresses.
1.2.4	The system shall provide the ability to modify demographic information about the patient.
1.2.5	The system shall store demographic information in the patient medical record in separate discrete data fields, such that data extraction tools can retrieve these data.
2.1.1	The system shall provide the ability to access demographic information such as name, date of birth and gender needed for patient care functions.
2.1.2	The system shall capture and maintain demographic information as discrete data elements as part of the patient record.
2.2.1	The system shall provide the ability to query for a patient by more than one form of identification.
2.3.1	The system shall provide the ability to capture and maintain, as discrete data elements, the identity of all providers associated with a specific patient encounter.
2.3.2	The system shall provide the ability to capture and maintain, as discrete data elements, the principal provider responsible for the care of an individual patient.
2.4.2	The system shall provide the ability to capture, maintain and display, as discrete data elements, all problems/diagnoses associated with a patient.
1.3.3	The system shall provide the ability to maintain the onset date of the problem/diagnosis.
1.3.4	The system shall provide the ability to maintain the resolution date of the problem/diagnosis.
1.3.5	The system shall provide the ability to record the chronicity (chronic, acute/self-limiting, etc.) of a problem/diagnosis.
1.3.6	The system shall provide the ability to record the user ID and date of all updates to the problem/diagnosis list.
1.3.7	The system shall provide the ability to associate orders, medications, and notes with one or more problems/diagnoses.
1.3.8.1	The system shall provide the ability to associate orders and medications with one or more codified problems/diagnoses.
1.3.9	The system shall provide the ability to maintain a coded list of problems/diagnoses.
2.4.6	The system shall provide the ability to display different views of the problem / diagnosis list based upon the status of the problem.
2.4.1	The system shall provide the ability to capture, maintain and display free text comments associated with the problem / diagnosis.
1.4.2	The system shall provide the ability to record the prescribing of medications including the identity of the prescriber.
1.4.3	The system shall provide the ability to maintain medication ordering dates.
1.4.4	The system shall provide the ability to maintain other dates associated with medications including start, modify, renewal and end dates as applicable.
1.4.5	The system shall provide the ability to display medication history for the patient.
1.4.6	The system shall provide the ability to capture medications entered by authorized users other than the prescriber.
1.4.7	The system shall store medication information in discrete data fields.  At a minimum, there must be one field for each of the following: - medication name, form and strength; - dispense quantity; - refills; and - sig.
1.4.9	The system shall provide the ability to enter uncoded or free text medications when medications are not on the vendor-provided medication database or information is insufficient to completely identify the medication.
1.4.10	The system shall provide the ability to enter or further specify in a discrete field that the patient takes no medications.
1.4.11	The system shall provide the ability to record the date of changes made to a patient's medication list and the identity of the user who made the changes.
2.6.1	The system shall provide the ability to update and display a patient-specific medication list based on current medication orders or prescriptions.
2.6.2	The system shall provide the ability to display a view that includes only current medications.
2.6.3	The system shall provide the ability to exclude a medication from the current medication list (e.g. marked inactive, erroneous, completed, discontinued) and document reason for such action.
2.6.4	The system shall provide the ability to print a current medication list.
2.6.5	The system shall provide the ability to display that the patient takes no medications.
2.6.6	The system shall provide the ability to capture and maintain, as discrete data elements, all current medications including over-the-counter and complementary medications such as vitamins, herbs and supplements.
2.5.1	The system shall provide the ability to modify or inactivate an item on the allergy and adverse reaction list.
1.5.3	The system shall provide the ability to display information which has been inactivated or removed from the allergy and adverse reaction list.
2.5.4	The system shall provide the ability to specify the type of allergic or adverse reaction in a discrete data field.
2.5.5	The system shall provide the ability to capture and maintain, as discrete data, the identity of the user who added, modified, inactivated or removed items from the allergy and adverse reaction list, including attributes of the changed items.  The user ID and date/time stamp shall be recorded.
2.5.7	The system shall provide the ability for a user to explicitly capture and maintain, as discrete data, that the allergy list was reviewed.  The user ID and date/time stamp shall be recorded when the allergies reviewed option is selected.
2.5.9	The system shall provide the ability to explicitly indicate in a discrete field that a patient has no known drug allergies or adverse reactions.
2.5.12	The system shall provide the ability to display the allergy list, including date of entry.
2.5.13	The system shall provide the ability to capture, maintain and display, as discrete data, lists of medications and other agents to which the patient has had an allergic or other adverse reaction.
1.6.1	The system shall provide the ability to capture, store, display, and manage patient history.
1.6.2	The system shall provide the ability to capture structured data in the patient history.
1.6.3	The system shall provide the ability to update a patient history by modifying, adding or removing items from the patient history as appropriate.
1.6.4	The system shall provide the ability to capture patient history as both a presence and absence of conditions, i.e., the specification of the absence of a personal or family history of a specific diagnosis, procedure or health risk behavior.
1.6.5	The system shall provide the ability to capture history collected from outside sources.
1.6.6	The system shall provide the ability to capture patient history in a standard coded form.
1.7.1	The system shall provide the ability to create and display a summary list for each patient that includes, at a minimum, the active problem/diagnosis list, current medication list, medication allergies and adverse reactions
1.8.1	The system shall provide the ability to create clinical documentation or notes (henceforth "documentation").
1.8.2	The system shall provide the ability to display documentation.
1.8.3	The system shall provide the ability to save a note in progress prior to finalizing the note.
1.8.4	The system shall provide the ability to finalize a note, i.e., change the status of the note from in progress to complete so that any subsequent changes are recorded as such.
1.8.5	The system shall provide the ability to record the identity of the user finalizing each note and the date and time of finalization.
1.8.6	The system shall provide the ability to cosign a note and record the date and time of signature.
1.8.7	The system shall provide the ability to addend and/or correct notes that have been finalized.
1.8.8	The system shall provide the ability to identify the full content of a modified note, both the original content and the content resulting after any changes, corrections, clarifications, addenda, etc. to a finalized note.
1.8.9	The system shall provide the ability to record and display the identity of the user who addended or corrected a note and the date and time of the change.
1.8.10	The system shall provide the ability to enter free text notes.
1.8.11	The system shall provide the ability to filter, search or order notes by the provider who finalized the note.
1.8.12	The system shall provide the ability to filter, search or order notes by associated diagnosis within a patient record.
1.8.13	The system shall provide the ability to capture patient vital signs, including blood pressure, heart rate, respiratory rate, height, and weight, as discrete data.
1.8.14	The system shall provide the ability to capture and display temperature, weight and height in both metric and English units
1.8.15	The system shall be capable of indicating to the user when a vital sign measurement falls outside a preset normal range as set by authorized users.
1.8.16	The system shall provide the ability to capture other clinical data elements as discrete data.
1.8.19	The system shall provide templates for inputting data in a structured format as part of clinical documentation.
1.8.20	The system shall provide the ability to customize clinical templates.
