1.2.0	The solution should comply with the 1.Security Rule.
1.2.1	"The solution should comply with the 1.Security Rule: Administrative Safeguards. In general, these are the administrative functions that should be implemented to meet the security standards. These include assignment or delegation of security responsibility to an individual and security training requirements."
1.2.2	"The solution should comply with the 1.Security Rule: Physical Safeguards. The Security Rule defines physical safeguards as physical measures, policies, and procedures to protect a covered entity’s electronic information solutions and related buildings and equipment, from natural and environmental hazards, and unauthorized intrusion. The standards are another line of defense (adding to the Security Rule’s administrative and technical safeguards) for protecting EPHI."
1.2.3	The solution should comply with the 1.Security Rule: Technical Safeguards. The Security Rule defines technical safeguards in § 164.304 as the technology and the policy and procedures for its use that protect electronic protected health information and control access to it.
1.3.0	The solution should comply with Electronic Transactions and Code Sets Rule.
1.4.0	"The solution should comply with the National identifier requirements for employers, providers, and health plans - The Employer Identification Number (EIN), issued by the Internal Revenue Service (IRS), was selected as the identifier for employers. The National Provider Identifier (NPI) was adopted as the standard unique health identifier for health care providers. "
1.5.0	"The 1.security requirements are designed to be technology neutral and scalable. Per CFR 164.306(b) the solution should take into account (1) The size, complexity and capabilities of the organization. (2) The organization's technical infrastructure, hardware, and software security capabilities. (3) The costs of security measures. (4) The probability and criticality of potential risks to EPHI."
1.160.103.02	"The solution should protect Individually identifiable health information that is information, including demographic data, that relates to:  (1) the individual’s past, present or future physical or mental health or condition; (2) the provision of health care to the individual, or 3) the past, present, or future payment for the provision of health care to the individual, and that identifies the individual or for which there is a reasonable basis to believe can be used to identify the individual; (3) Individually identifiable health information includes many common identifiers (e.g., name, address, birth date, Social Security Number)."
1.160.103.03	"The solution should comply with the Privacy Rule that protects all individually identifiable health information held or transmitted by a covered entity or its business associate, in any form or media, whether electronic, paper, or oral. The Privacy Rule calls this information ""protected health information (PHI)."
1.160.310.1	The solution should provide 1.records and compliance reports.
1.164.308.1.1.2.4	"The solution should provide reports for records of information solution activity, such as audit logs, access reports, and security incident tracking reports."
1.164.308.1.4.2.2	The solution should provide the ability to grant and revoke access to electronic protected health information managed by the solution.
1.164.308.1.7.2.1	The solution should maintain retrievable exact copies of electronic protected health information.
1.164.308.1.7.2.2	The solution should provide the ability to restore any loss of data.
1.164.312.1.1	The solution should implement technical policies and procedures for electronic information solutions that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in 45 CFR 164.308(a)(4) [Information Access Management].
1.164.312.1.2.1	The solution should assign a unique name and/or number for identifying and tracking user identity (Global User ID).
1.164.312.1.2.3	The solution should implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.
1.164.312.1.2.4	The solution should implement a mechanism to encrypt and decrypt electronic protected health information.
1.164.312.2	"The organization should implement hardware, software, and/or procedural mechanisms that record and examine activity in information solutions that contain or use electronic protected health information."
1.164.312.3.2	The solution should implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.
1.164.312.4	The solution should implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.
1.164.312.5.1	The solution should implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.
1.164.312.5.2.1	The solution should implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.
1.164.312.5.2.2	The solution should implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.
1.164.502.2	The solution should restrict access and uses of protected health information based on the specific user's role.
1.164.502.4.2	The solution should have the ability to de-identify health information which neither identifies nor provides a reasonable basis to identify an individual.
1.164.514.2.1	"The solution should remove identifiers of the individual or of relatives, employers, or household members of the individualto achieve the safe harbor method of de-identification."
1.164.514.2.2	"The solution should support two ways to de-identify information; either: 1) a formal determination by a qualified statistician; or 2) the removal of specified identifiers of the individual and of the individual’s relatives, household members, and employers is required, and is adequate only if the covered entity has no actual knowledge that the remaining information could be used to identify the individual."
1.164.514.2.3	The solution de-identification capability should include: Medical record numbers.
1.164.514.2.4	The solution de-identification capability should include: Social security numbers.
1.164.514.2.5	The solution de-identification capability should include: Electronic mail addresses.
1.164.514.2.6	The solution de-identification capability should include: FAX numbers.
1.164.514.2.7	The solution de-identification capability should include: Telephone numbers.
1.164.514.2.8	"The solution de-identification capability should include: All elements of dates (except year) for dates directly related to the individual, including birth date, admission date, discharge date, date of death; and all ages over 89 and all elements of dates (including year) indicative of such age, except that such ages and elements may be aggregated into a single category of age 90 or older;"
1.164.514.2.9	"The solution de-identification capability should include:  All geographic subdivisions smaller than a State, including street address, city, county, precinct, zip code, and their equivalent geocodes, except for the initial three digits of a zip code if, according to the current publicly available data from the Bureau of Census (1) the geographic units formed by combining all zip codes with the same three initial digits contains more than 20,000 people; and (2) the initial three digits of a zip code for all such geographic units containing 20,000 or fewer people is changed to 000;"
1.164.514.2.10	The solution de-identification capability should include: Names.
1.164.514.2.11	The solution de-identification capability should include: Web Universal Resource Locators (URLs).
1.164.514.2.12	The solution de-identification capability should include: Device identifiers and serial numbers.
1.164.514.2.13	"The solution de-identification capability should include: Vehicle identifiers and serial numbers, including license plate numbers."
1.164.514.2.14	The solution de-identification capability should include: Certificate/license numbers.
1.164.514.2.15	The solution de-identification capability should include: Health plan beneficiary numbers.
1.164.514.2.16	The solution de-identification capability should include: Account numbers.
1.164.514.2.17	The solution de-identification capability should include: Internet Protocol (IP) address numbers.
1.164.514.2.18	"The solution de-identification capability should include: Biometric identifiers, including finger and voice prints."
1.164.514.2.19	The solution de-identification capability should include: Full face photographic images and any comparable images.
1.164.514.2.20	"The solution de-identification capability should include: Any other unique identifying number, characteristic, or code, except as permitted for re-identification purposes provided certain conditions are met. In addition to the removal of the above-stated identifiers, the covered entity may not have actual knowledge that the remaining information could be used alone or in combination with any other information to identify an individual who is subject of the information."
1.164.524.1	The solution should provide the ability to provide patients a copy of their protected health information in a covered entity’s designated record set.
1.164.524.2	"The solution should provide the ability to not provide patients access to the following protected health information: psychotherapy notes, information compiled for legal proceedings, laboratory results to which the Clinical Laboratory Improvement Act (CLIA) prohibits access, or information held by certain research laboratories."
1.6.1	"The solution should use more secure connections for email via SSL and the use of message-level standards such as S/MIME, SET, PEM, PGP, etc."
1.6.2	"The solution should implement two-factor authentication for granting remote access to solutions that contain EPHI. This process requires factors beyond general User IDs (i.e. usernames) and passwords to gain access to solutions (e.g., requiring users to answer a security question such as ""Favorite Pet's Name"")."
