1.1.1.1	The solution should create a single logical record for each patient.
1.1.1.2	The solution should provide the ability to create a record for a patient when the identity of the patient is unknown.
1.1.1.3	The solution should provide the ability to store more than one identifier for each patient record.
1.1.1.4	The solution should associate key identifier information (e.g., solution ID, medical record number) with each patient record.
1.1.1.5	The solution should provide the ability to uniquely identify a patient and tie the record to a single patient.
1.1.1.6	The solution should provide the ability, through a controlled method, to merge or link dispersed information for an individual patient upon recognizing the identity of the patient.
1.1.1.7	If health information has been mistakenly associated with a patient, then the solution should provide the ability to mark the information as erroneous in the record of the patient in which it was mistakenly associated and represent that information as erroneous in all outputs containing that information.
1.1.1.8	If health information has been mistakenly associated with a patient, THEN the solution should provide the ability to associate it with the correct patient.
1.1.1.9	The solution should provide the ability to retrieve parts of a patient record using a primary identifier, secondary identifiers, or other information which are not identifiers, but could be used to help identify the patient.
1.1.1.10	The solution should provide the ability to obsolete, inactivate, nullify, destroy and archive a patient's record in accordance with local policies and procedures, as well as applicable laws and regulations.
1.1.1.11	If related patients register with any identical data, then the solution should provide the ability to propagate that data to all their records.
1.1.2.1	The solution should capture demographic information as part of the patient record.
1.1.2.2	The solution should store and retrieve demographic information as discrete data.
1.1.2.3	The solution should provide the ability to retrieve demographic data as part of the patient record.
1.1.2.4	The solution should provide the ability to update demographic data.
1.1.2.5	The solution should provide the ability to report demographic data.
1.1.2.6	The solution should store historical values of demographic data over time.
1.1.2.7	The solution should present a set of patient identifying information at each interaction with the patient record.
1.1.3.1.1	The solution should provide the ability to capture external data and documentation.
1.1.3.1.2	If lab results are received through an electronic interface, then the solution should receive and store the data elements into the patient record.
1.1.3.1.3	If lab results are received through an electronic interface, then the solution should display them upon request.
1.1.3.1.4	The solution should provide the ability to receive, store and display scanned documents as images.
1.1.3.1.5	The solution should provide the ability to store imaged documents or reference the imaged documents via links to imaging solutions.
1.1.3.1.6	The solution should provide the ability to receive, store and present text-based externally-sourced documents and reports.
1.1.3.1.7	The solution should provide the ability to receive, store and display clinical result images (such as radiologic images) received from an external source.
1.1.3.1.8	The solution should provide the ability to receive, store and display other forms of clinical results (such as wave files of EKG tracings) received from an external source.
1.1.3.1.9	The solution should provide the ability to receive, store and present medication details from an external source.
1.1.3.1.10	The solution should provide the ability to receive, store and present structured text-based reports received from an external source.
1.1.3.1.11	The solution should provide the ability to receive, store and present standards-based structured, codified data received from an external source.
1.1.3.2.1	The solution should capture and explicitly label patient-originated data.
1.1.3.2.2	If the solution provides the ability for direct entry by the patient, then the solution should explicitly label the data as patient entered.
1.1.3.2.3	The solution should capture and label the source of clinical data provided on behalf of the patient.
1.1.3.2.4	The solution should present patient-originated data for use by care providers.
1.1.3.2.5	The solution should provide the ability for a provider to verify the accuracy of patient-originated data for inclusion in the patient record.
1.1.3.2.6	The solution should provide the ability to view or comment, but not alter, patient-originated data.
1.1.3.3.1	The solution should provide the ability to capture and label patient health data derived from administrative or financial data.
1.1.3.3.2	The solution should provide the ability to capture and link data about the source of patient health data derived from administrative and financial data with that patient data.
1.1.3.3.3	The solution should provide the ability to present labeled patient health information derived from administrative or financial data and the source of that data for use by authorized users.
1.1.3.3.4	The solution should provide the ability to view or comment on patient health information derived from administrative or financial data.
1.1.3.3.5	The solution should provide the ability to request correction of the administrative or financial data.
1.1.4.1	The solution should present summarized views and reports of the patient’s comprehensive EMR.
1.1.4.2	The solution should include at least the following in the summary: problem list, medication list, allergy and adverse reaction list.
1.1.5.1	The solution should provide the ability to create views that prohibit patients from accessing certain information according to organizational policy, scope of practice, and jurisdictional law.
1.1.5.2	The solution should provide the ability to create customized views of summarized information based on sort and filter controls for date or date range, problem, or other clinical parameters.
1.1.5.3	The solution should provide the ability to access summarized information through customized views based on prioritization of chronology, problem, or other pertinent clinical parameters.
1.2.1	The solution should provide the ability to capture, update and present current patient history including pertinent positive and negative elements.
1.2.2	The solution should provide the ability to capture and present previous external patient histories
1.2.3	The solution should provide the ability to capture the relationship between patient and others.
1.2.4	The solution should capture the complaint, presenting problem or other reason(s) for the visit or encounter.
1.2.5	The solution should capture the reason for visit/encounter from the patient's perspective.
1.3.0.2	The solution should to function IN.2.2 (Auditable Records).
1.3.1.1	The solution should provide the ability to capture, present, maintain and make available for clinical decisions patient preferences such as language, religion, spiritual practices and culture.
1.3.1.2	The solution should provide the ability to capture, present, maintain and make available for clinical decisions family preferences such as language, religion, spiritual practices and culture.
1.3.2.1	The solution should provide the ability to indicate that advance directives exist for the patient.
