1.1.1	The solution should authenticate principals prior to accessing an EMR application or EMR data.
1.1.2	The solution should prevent access to EMR applications or EMR data to all non-authenticated principals.
1.1.3	The solution should provide the ability to implement a Chain of Trust agreement.
1.1.4	If other appropriate authentication mechanisms are absent, then the solution should authenticate principals using at least one of the following authentication mechanisms: username/password, digital certificate, secure token or biometrics.
1.2.1	The solution should provide the ability to create and update sets of access-control permissions granted to principals.
1.2.2	The solution should conform to function IN.2.2 (Auditable Records) for the purpose of recording all authorization actions.
1.2.3	The solution should provide EMR security administrators with the ability to grant authorizations to principals according to scope of practice, organizational policy, or jurisdictional law.
1.2.4	The solution should provide EMR security administrators with the ability to grant authorizations for roles according to scope of practice, organizational policy, or jurisdictional law.
1.2.5	The solution should provide EMR security administrators with the ability to grant authorizations within contexts according to scope of practice, organizational policy, or jurisdictional law.
1.2.6	The solution should provide the ability to define context for the purpose of principal authorization based on identity, role, work assignment, present condition, location, patient consent, or patient’s present condition.
1.2.7	The solution should provide the ability to define context based on legal requirements or disaster conditions.
1.3.1	The solution should conform to function IN.1.1 (Entity Authentication).
1.3.2	The solution should conform to function IN.1.2 (Entity Authorization).
1.3.3	The solution should provide the ability to define solution and data access rules.
1.3.4	The solution should enforce solution and data access rules for all EMR resources (at component, application, or user level, either local or remote).
1.4.1	The solution should conform to function IN.1.3 (Entity Access Control) in order for a healthcare delivery organization to manage a patient’s access to his or her healthcare information.
1.5.1	The solution should time stamp initial entry, modification, or exchange of data, and identify the actor/principal taking the action as required by users' scope of practice, organizational policy, or jurisdictional law.
1.5.2	The solution should provide additional non-repudiation functionality where required by users' scope of practice, organizational policy, or jurisdictional law.
1.5.3	The solution should conform to function IN.2.2 (Auditable Records) to prevent repudiation of data origination, receipt, or access.
1.5.4	The solution should conform to function IN.1.8 (Information Attestation) to ensure the integrity of data exchange and thus prevent repudiation of data origination or receipt.
1.6.1	The solution should secure all modes of EMR data exchange.
1.6.2	The solution should conform to function IN.1.7 (Secure Data Routing).
1.6.3	The solution should provide the ability to obfuscate data.
1.6.4	The solution should encrypt and decrypt EMR data that is exchanged over a non-secure link.
1.6.5	The solution should support standards-based encryption mechanisms when encryption is used for secure data exchange.
1.7.1	The solution should automatically route electronically exchanged EMR data only from and to known sources and destinations and only over secure networks.
1.7.2	The solution should route electronically exchanged EMR data only to and from authenticated sources and destinations (conform to function IN.1.1 (Entity Authentication)).
1.7.3	The solution should conform to function IN.2.2 (Auditable Records) to provide audit information about additions and changes to the status of destinations and sources.
1.8.1	The solution should conform to function IN.1.1 (Entity Authentication).
1.8.2	The solution should conform to function IN.1.2 (Entity Authorization).
1.8.3	The solution should provide the ability to associate any attestable content added or changed to an EMR with the content's author (for example by conforming to function IN.2.2 (Auditable Records).
1.8.4	The solution should provide the ability for attestation of attestable EMR content by the content's author.
1.8.5	The solution should indicate the status of attestable data which has not been attested.
1.8.6	The solution should provide the ability for attestation of EMR content by properly authenticated and authorized users different from the author as required by users’ scope of practice, organizational policy, or jurisdictional law.
1.8.7	The solution should provide the ability to use digital signatures as the means for attestation.
1.9.1	The solution should provide the ability to fully comply with the requirements for patient privacy and confidentiality in accordance with a user's scope of practice, organizational policy, or jurisdictional law.
1.9.2	The solution should conform to function IN.1.1 (Entity Authentication).
1.9.3	The solution should conform to function IN.1.2 (Entity Authorization).
1.9.4	The solution should conform to function IN.1.3 (Entity Access Control).
1.9.5	The solution should conform to function IN.1.5 (Non-Repudiation).
1.9.6	The solution should conform to function IN.1.6 (Secure Data Exchange).
1.9.7	The solution should conform to function IN.2.2 (Auditable Records).
1.9.8	The solution should provide the ability to maintain varying levels of confidentiality in accordance with users' scope of practice, organizational policy, or jurisdictional law.
1.9.9	The solution should provide the ability to mask parts of the electronic health record (e.g. medications, conditions, sensitive documents) from disclosure according to scope of practice, organizational policy or jurisdictional law.
1.9.10	The solution should provide the ability to override a mask in emergency or other specific situations according to scope of practice, organizational policy or jurisdictional law.
2.1.1	The solution should provide the ability to store and retrieve health record data and clinical documents for the legally prescribed time.
2.1.2	The solution should provide the ability to retain inbound data or documents (related to health records) as originally received (unaltered, inclusive of the method in which they were received) for the legally organizationally prescribed time in accordance with users’ scope of practice, organizational policy, or jurisdictional law.
2.1.3	The solution should retain the content of inbound data (related to health records) as originally received for the legally prescribed time.
2.1.4	The solution should provide the ability to retrieve both the information and business context data within which that information was obtained.
2.1.5	The solution should provide the ability to retrieve all the elements included in the definition of a legal medical record.
2.1.6	The solution should provide the ability to identify specific EMR data/records for destruction, review and confirm destruction before it occurs and implement  Auditable Records function.
2.1.7	The solution should provide the ability to destroy EMR data/records so that all traces are irrecoverably removed according to policy and legal retentions periods.
2.1.8	The solution should pass along record destruction date information (if any) along with existing data when providing records to another entity.
2.2.1	The solution should provide audit capabilities for recording access and usage of solutions, data, and organizational resources.
2.2.2	The solution should conform to Entity Authentication.
2.2.3	The solution should provide audit capabilities indicating the time stamp for an object or data creation.
2.2.4	The solution should provide audit capabilities indicating the time stamp for an object or data modification in accordance with users' scope or practice, organizational policy, or jurisdictional law.
2.2.5	The solution should provide audit capabilities indicating the time stamp for an object or data extraction in accordance with user's scope or practice, organizational policy, or jurisdictional law.
2.2.6	The solution should provide audit capabilities indicating the time stamp for an object or data exchange.
2.2.7	The solution should provide audit capabilities indicating the time stamp for an object or data view.
2.2.8	The solution should provide audit capabilities indicating the time stamp for an object or data deletion in accordance with user's scope or practice, organizational policy, or jurisdictional law.
2.2.9	The solution should provide audit capabilities indicating the author of a change in accordance with user's scope or practice, organizational policy, or jurisdictional law.
2.2.10	The solution should provide audit capabilities indicating the viewer of a data set.
2.2.11	The solution should provide audit capabilities indicating the data value before a change.
2.2.12	The solution should provide audit capabilities to capture solution events at the hardware and software architecture level.
2.2.13	The solution should conform to function IN.1.3 (Entity Access Control) to limit access to audit record information to appropriate entities in accordance with users’ scope of practice, organizational policy, or jurisdictional law.
2.2.14	The solution should provide the ability to generate an audit report.
2.2.15	The solution should provide the ability to view change history for a particular record or data set in accordance with users’ scope of practice, organizational policy, or jurisdictional law.
