2.1.1.2	The OCE , under the authority  of this SE NPR , shall  ensure compliance  with this SE NPR .
2.1.1.3	For programs and projects  involving more than one Center , the lead organization  shall develop documentation to describe the hierarchy and reconciliation of Center plans implementing this NPR . The governing mission directorate determines whether a Center executes a project in a lead role or in a peer role. For Centers in peer roles, compliance  should be jointly negotiated.
2.1.1.4	For systems that contain software , the technical team  shall  ensure that software developed within NASA or acquired complies with NPR  7150.2, NASA Software Engineering Requirements.
2.1.1.5	The OCE shall be the clearinghouse for systems  engineering  policies to ensure compatibility  across NASA. In the event of differences between program  or project  offices and the OCE staff, the conflict  will ultimately reach the NASA Chief Engineer  or mission  director level. If agreement is not achieved at this level, the conflict will be brought to the NASA Administrator for resolution.
2.1.1.6	In this document, the phrase ―the Center  Directors  shall …‖ means  the roles  and responsibilities  of the Center Directors  may be further delegated within the organization  as appropriate to the scope  and scale of the system .
2.1.2.1	Center Directors oversee and manage the infrastructure for the successful execution of technical authority, support, and assurance of all programs and projects.  This Document Is Uncontrolled When Printed.
2.1.2.2	Center Directors shall perform the following activities  or delegate them to the appropriate Center organization :  a. Develop the SE NPR  Implementation  Plan per the template  in Appendix H-1 describing how the requirements  of this SE NPR  will be applied to the programs  and projects  under their cognizance or authority . b. Establish policies, procedures, and processes to execute the requirements of this SE NPR . c. Assess and take corrective actions to improve the execution of the requirements of this SE NPR. d. Perform the SENPR  Center  Survey  in accordance with Appendix H -2 for the purpose  of providing feedback on the SE NPR . The initial Center Survey will be submitted five months from the effective date of this SE NPR . Subsequent updates will be upon the request of the OCE, no earlier than nine months after the initial submission. The Center Survey will use the common survey tool in Appendix H -2 and will be submitted through the Center System Engineering Working Group  (SEWG ) representative.  e. Select appropriate standards applicable to projects under their control.
2.1.3.1	Each technical team shall execute the Center  processes  intended to implement  this SE NPR under the oversight  of the Center Director s in accordance with the SEMP . The makeup and organization of each technical team is the responsibility of each Center or program  and includes the personnel required to implement the project .
2.2.1.2	The Center Directors  shall submit their SE NPR  Implementation  Plan to the OCE within three months after the effective date of this NPR . The plan will be updated as required. The SE NPR Implementation Plan will be provided to mission directorates for review  and comment. Each SE NPR Implementation Plan will be approved  by the OCE and include the applicable documents employed by the individual Centers. These Center documents may include Center procedural requirements, work  instructions, standards, and rules, as well as other Center -unique documentation. The SE NPR is a requirements document that specifies what needs to  be accomplished at an Agency  level. There will also be a body of knowledge developed to assist in the implementation of the NPR. This body of knowledge will include an updated NASA Systems Engineering Handbook  (SP-6105 ) as well as best practices , standards , and templates.
2.2.1.3	The Center  Director s shall develop and document  in the SE NPR  Implementation  Plan how the particular Center will assess  compliance  to the SENPR  and provide regular updates to the OCE . In addition, the OCE will conduct periodic updates at the Centers to obtain feedback on the effectiveness of the SE NPR to facilitate updating the NPR.
2.3.1.1	The appropriate DGA  shall  have responsibility to approve or disapprove any SE NPR requirement  that is either tailored  or waived.
2.3.1.2	The amount of detail, formality , and rigor required for the implementation of this SE NPR ’s requirements  is tailorable based on the size and complexity  of each project  and acceptable risk, subject to approval  by the project manager  and the  DGA . Critical project considerations  (e.g., public safety , security, litigation exposures) may preclude tailoring out required process activities , regardless of cost , manpower available , or other considerations .
2.3.1.3	A waiver is a documented agreement intentionally releasing a program or project  from meeting a requirement . Waivers are required to release a program or project from meeting a requirement in the execution of the processes described in this SE NPR .
3.2.1.1	The Center Directors  or designees shall  establish  and maintain a process  to include activities , requirements , guidelines , and documentation , for the definition of stakeholder expectations  for the applicable WBS  model .
3.2.1.2	The stakeholder expectations definition  process  is used to elicit and define use cases, scenarios, operational concepts, and stakeholder expectations for the applicable product -line life-cycle  phases  and WBS  model . This includes requirements  for: (a) operational end product s and life-cycle -enabling product s of the WBS model ; (b) expected skills  and capabilities of operators or users; (c) expected number of simultaneous users, (d) system  and human performance criteria , (e) technical authority , standards, regulations , and laws; ( f) factors such as safety , quality, security, context of use by humans, reliability , availability, maintainability, electromagnetic compatibility , interoperability , testability, transportability, supportability , usability,  and disposability; and ( g) local management constraints  on how work  will be done (e.g., operating procedures). The baselined stakeholder expectations are used for validation  of the WBS model end product during product realization.
3.2.2.1	The Center Director s or designees  shall  establish  and maintain a process  to include activities , requirements , guidelines , and documentation, for definition of the technical requirements from the set of agreed upon  stakeholder  expectations  for the applicable WBS model .
3.2.2.2	The technical requirements definition  process  is used to transform the baselined  stakeholder  expectations  into unique, quantitative, and measurable technical requirements expressed as ―shall  statements that can be used for defining a design  solution  for the WBS  model  end product  and related enabling product s.
3.2.3.1	The Center Director s or designees  shall  establish  and maintain a process  to include activities , requirements , guidelines , and documentation, for logical decomposition  of the validated technical requirements of the applicable WBS  model .
3.2.3.2	The logical decomposition process is used to improve understanding of the defined technical requirements  and the relationships among the requirements (e.g., functional, behavioral, and temporal) and to transform the defined set  of technical requirements into a set of logical decomposition models and their associated set of derived technical requirements for input  to the design  solution  definition process .
3.2.4.1	The Center Director s or designees shall  establish  and maintain a process  to include activities , requirements , guidelines , and documentation, for designing product  solution definitions within the applicable WBS  model that satisfy the derived technical requirements.
3.2.4.2	The design solution  definition  process  is used to translate the outputs  of the logical decomposition  process into a design solution definition that is in a form consistent with the product -line life-cycle  phase  and WBS  model  location in the system  structure  and that will satisfy phase exit criteria . This includes transforming the defined logical decomposition models and their associated sets of derived technical requirements into alternative solutions , then analyzing each alternative to be able to select a preferred alternative , and fully defining that alternative into a final design solution definition that will satisfy the technical requirements. These design solution definitions will be used for generating end product s either by using the product implementation process or product integration process  as a function of the position of the WBS model in the system structure and whether there are additional subsystems of the end product that need to be defined. The output definitions from the design solution (end product specifications) will be used for conducting product verification .
3.2.5.1	The Center Director s or designees shall establish  and maintain a process  to include activities , requirements , guidelines , and documentation, for implementation  of a design  solution  definition by making, buying , or reusing an end product  of the applicable WBS  model .
3.2.5.2	The product implementation  process is used to generate a specified product of a WBS  model  through buying, making , or reusing in a form consistent with the product -line life-cycle  phase  exit criteria  and that satisfies the design  solution  definition  specified requirements  (e.g., drawings, specifications ).
3.2.6.1	The Center Director s or designees shall  establish  and maintain a process to include activities , requirements , guidelines , and documentation for the integration  of lower  level products  into an end product  of the applicable WBS  model  in accordance with its design  solution  definition.
3.2.6.2	The product integration process is used to transform the design solution definition  into the desired end product  of the WBS  model  through assembly and integration of lower level , validated end products  in a form consistent with the product-line life-cycle  phase  exit criteria  and that satisfies the design solution definition requirements  (e.g., drawings, specifications ).
3.2.7.1	The Center Director s or designees shall  establish  and maintain a process  to include activities , requirements , guidelines , and documentation, for verification  of end product s generated by the product implementation  process or product integration process  against their design  solution  definitions.
3.2.7.2	The product verification  process is used to demonstrate that an end product  generated from product implementation  or product integration conforms to its design  solution  definition  requirements  as a function of the product -line life-cycle  phase  and the location of the WBS  model  end product in the system  structure . Special attention is given to demonstrating satisfaction of the measures of performance (MOPs) defined for each measure of effectiveness  (MOE s) during conduct of the technical requirements definition process .
3.2.8.1	The Center Director s or designees shall  establish  and maintain a process  to include activities , requirements , guidelines , and documentation, for validation  of end product s generated by the product implementation  process or product integration process  against their stakeholder  expectations .
3.2.8.2	The product  validation  process is used to confirm that a verified end product  generated by product implementation  or pro duct integration  fulfills (satisfies) its intended use when placed in its intended environment  and to ensure that any anomalies discovered during validation are appropriately resolved prior to delivery of the product  (if validation is done by the supplier of the product) or prior to integration with other products into a higher -level assembled product (if validation is done by the receiver of the product). The validation is done against the set of baselined stakeholder expectations . Special attention should be given to demonstrating satisfaction  of the MOEs identified during conduct of the stakeholder expectations definition  process . The type of product validation is a function of the form of the product and product -line life-cycle  phase  and in accordance with an applicable customer  agreement .
3.2.9.1	The Center Director s or designees shall  establish  and maintain a process  to include activities , requirements , guidelines , and documentation, for transitioning end product s to the next higher level WBS -model  customer  or user.
3.2.9.2	The product transition  process  is used to transition  a verified and validated end product that has been generated by product implementation  or product integration  to the customer  at the next level in the system  structure  for integration into an end product or, for the top level end product, transitioned to the intended end user. The form of the product transitioned will be a function of the product -line life-cycle phase  exit criteria  and the location within the system structure of the WBS  model  in which the end product exits.
3.2.10.1	The Center Directors or designers shall establish and maintain  a process  to include activities , requirements , guidelines , and documentation, for planning the technical effort.
3.2.10.2	The technical planning process is used to plan for the application  and management of each common technical process and to identify, define , and plan the technical effort applicable to the product -line life-cycle  phase  for WBS  model  location within the system  structure  and to meet project  objectives and product -line life-cycle  phase exit criteria . A key document generated by this process is the SEMP. (See Chapter 6.)
3.2.11.1	The Center Directors  or designees shall  establish  and maintain a process  to include activities , requirements , guidelines , and documentation, for management of requirements defined and baselined  during the application  of the system  design  processes .
3.2.11.2	The requirements management  process is used to: (a) manage  the product  requirements identified, baselined , and used in the definition  of the WBS  model  products duri ng system  design ; (b) provide bidirectional traceability back to the top WBS model requirements ; and (c) manage the changes to established requirement baselines over the life cycle  of the system products.
