2.2.1.1.53	The application shall allow users to create a new empty document.
2.2.1.1.54	If the current document contains unsaved changes then the application shall allow users to save the changes before closing the document.
2.2.1.2.56	The application shall allow users to open a document from a chosen file.
2.2.1.3.59	The application shall allow users to save the opened document into a file.
2.2.1.4.61	The application shall allow users to create a document template file from the opened document.
2.2.1.4.62	Document templates shall store structure of document sections and definition and values of requirement attributes.
2.2.1.4.63	The application shall allow users to create a new document from a chosen document template file preserving the structure of document sections and the definition and values of requirement attributes.
2.2.1.5.72	The application shall allow users to import a MS Word document preserving structure of document sections and paragraphs, rich text description of requirements and images.
2.2.1.5.73	The application shall allow users to import a MS Excel table of requirements preserving section headings, levels, unformatted text description of requirements and values of custom attributes.
2.2.1.6.76	The application shall allow users to export the displayed document view to HTML.
2.2.1.6.77	The application shall allow users to export requirements to CSV.
2.2.2.1.80	The application shall display the table of contents containing section headings organized according to their document tree hierarchy.
2.2.2.1.81	When user clicks on a document section in the table of contents then the application shall focus the section in the requirements t able.
2.2.2.2.83	The application shall display the document in a requirements table containing the following columns: ID, Description, Discussion, Links and a column for each custom requirement attribute.
2.2.2.2.84	The ID column of the requirements table shall display unique requirement identifiers.
2.2.2.2.85	The Description column of the requirements table shall display the section numbers, headings, requirement text descriptions and attachments.
2.2.2.2.86	The Discussion column of the requirements table shall display requirement comments with information about comment author, date and text ordered by date and time.
2.2.2.2.87	The Links column of the requirements table shall display requirement traceability links grouped by link types.
2.2.2.2.88	The application shall allow users to change width of each requirements table column.
2.2.2.2.190	The application shall allow users to reorder requirements table columns.
2.2.2.2.89	The application shall allow users to show and hide requirements table columns except the ID column.
2.2.2.2.90	The application shall allow users to sort all requirements table columns except the Discussion and Links columns by ascending or descending order.
2.2.2.3.92	The application shall allow users to show and hide a pane displaying detailed information about custom attributes, discussion, traceability links or history of changes of the selected requirement.
2.2.2.3.93	While the custom attributes pane is shown, the application shall display values of all assigned custom attributes for the selected requirement.
2.2.2.3.94	While the discussion pane is shown, the application shall display all comments for the selected requirement ordered by date and time.
2.2.2.3.96	While the discussion pane is shown, the application shall allow users to expand or collapse a s elected comment or all displayed comments.
2.2.2.3.97	While a displayed discussion comment is expanded, then the application shall display the date, time, author and description of the comment.
2.2.2.3.98	While a displayed discussion comment is collapsed, then the application shall display the date, time and author of the comment.
