keyword,count,cluster
source code,13,1
software and its engineering,12,1
software creation and management,9,1
reverse engineering,8,1
natural language,8,1
software maintenance,8,1
software notations and tools,8,1
visualization,7,1
software development,7,1
information retrieval,7,1
static analysis,6,1
codes,6,1
software postdevelopment issues,6,1
sequence diagram,6,1
software,6,1
source coding,5,1
programming language,5,1
software engineering,5,1
program comprehension,5,1
class diagram,5,1
system software,5,1
unified modeling language,5,1
semantics,4,1
code snippets,4,1
information systems,4,1
software systems,4,1
natural language processing,4,1
maintenance engineering,4,1
software maintenance tools,3,1
processing software,3,1
dynamic analysis,3,1
data mining,3,1
large language models,3,1
sequence of tokens,3,1
task analysis,3,1
software quality,3,1
humancentered computing,3,1
debugging,3,1
artificial intelligence,3,1
social and professional topics,3,2
machine learning,3,1
professional topics,3,-1
unified modeling language uml,3,1
semantic similarity,3,1
java code,3,1
information extraction,3,1
language model,2,1
flow control,2,1
manuals,2,1
xml file,2,-1
validation set,2,1
pretrained language models,2,1
neural model,2,1
authors of this paper,2,-1
interactive visualization,2,1
java,2,1
behavioral model,2,1
class assignment,2,1
objectoriented,2,-1
unit tests,2,1
visualization tool,2,1
word embedding,2,1
measurement,2,1
requirements engineering,2,1
parse tree,2,-1
software artifacts,2,1
semantic,2,1
technological innovation,2,-1
code elements,2,1
code changes,2,1
video summarization,2,1
software features,2,1
software product lines,2,1
education,2,1
software reverse engineering,2,1
software development techniques,2,1
abstract syntax tree,2,1
automatic evaluation,2,1
system description languages,2,1
applied computing,2,1
code summarization,2,1
use case scenarios,2,1
documentation,2,1
reusability,2,-1
management of computing and information systems,2,1
software evolution,2,1
long shortterm memory,2,1
training set,2,1
software management,2,1
precision and recall,2,1
computing methodologies,2,1
tools,2,1
synchronization,2,-1
illustrative example,1,-1
abstract and concrete,1,-1
dependent relationship,1,0
list of classes,1,1
licenses,1,-1
part of the concept,1,-1
variety of systems,1,1
truth table,1,-1
transition state,1,1
transition conditions,1,-1
system state,1,1
random strategy,1,-1
ranked list,1,-1
java programming,1,1
clone detection,1,-1
coupling dependency,1,0
coupling relationship,1,0
couplings,1,0
current task,1,1
differences in type,1,-1
consistency checks,1,1
code version,1,1
code implementation,1,1
analytical models,1,1
cutoff point,1,-1
dotted circle,1,-1
training data,1,1
training,1,1
systems engineering and theory,1,1
syntactic,1,1
reversible process,1,-1
modeldriven reverse engineering mdre,1,1
legacy systems,1,1
state machine,1,1
large language models llms,1,1
historical set,1,-1
intersection over union,1,-1
java programs,1,1
unidirectional relationship,1,0
automatic model,1,1
visual representation,1,1
variable levels,1,-1
systems architecture,1,1
aerodynamics,1,-1
system design,1,1
aging,1,-1
code analysis,1,1
student journey,1,-1
streamline,1,-1
coding structure,1,1
manufacturing,1,1
complex software,1,1
customer experience,1,-1
dynamic visualization,1,1
error detection,1,1
software product,1,1
implementation of tools,1,1
security vulnerabilities,1,1
registration process,1,-1
interactive,1,1
parsing,1,1
largescale development,1,-1
static behavior,1,-1
reverse engineering re,1,1
model system,1,1
model inference,1,1
model driven engineering,1,1
model drive engineering,1,1
machine model,1,1
industrial systems,1,1
industrial cyberphysical systems,1,1
industrial control systems,1,1
industrial control,1,1
independent modules,1,-1
code recovery,1,1
functional blocks,1,-1
finite state machine fsm,1,1
decision rules,1,-1
rest of the class,1,1
ripple effect,1,-1
set of equations,1,-1
set of papers,1,-1
data models,1,1
cyberphysical systems,1,1
correlated variables,1,0
computational modeling,1,1
color sensor,1,-1
huge amount of data,1,1
computational notebooks,1,1
cognitive processes,1,-1
ai engineering,1,1
text summarization,1,1
text similarity,1,1
temperature parameters,1,-1
statementlevel code summarization,1,1
source code summarization,1,1
relevant metrics,1,1
question answering information retrieval,1,1
quantum state,1,1
programming,1,1
natural language processing tasks,1,1
term frequencyinverse document frequency,1,-1
latent space,1,-1
individual statements,1,1
entire function,1,-1
code blocks,1,1
binary code,1,1
bar width,1,-1
user reviews,1,-1
types of artifacts,1,-1
textual patterns,1,1
stack overflow,1,-1
software requirements,1,1
software discussions,1,1
robustness,1,-1
reliability engineering,1,1
manual assessment,1,1
natural language processing approaches,1,1
maintenance activities,1,1
industry practitioners,1,1
delft university of technology,1,-1
types of models,1,1
systematics,1,-1
scenario description,1,1
natural language understanding,1,1
method name prediction,1,1
large language model,1,1
gpt35,1,-1
fewshot learning,1,-1
f1 score,1,-1
development cycle,1,1
artificial neural network,1,1
writing,1,1
testing process,1,1
rich source of information,1,1
research community,1,2
pipelines,1,-1
nlp for code,1,1
new perspective,1,-1
market research,1,-1
machine learning testing,1,1
machine learning systems,1,1
machine learning pipeline,1,1
machine learning models,1,1
jupyter notebook,1,-1
control flow graph,1,1
xml format,1,-1
class level,1,1
single trace,1,-1
relevant methods,1,1
relevant codes,1,1
ranking method,1,1
original form,1,-1
list of methods,1,1
interesting feature,1,-1
instrumentation,1,1
enterprise level,1,-1
dynamic metrics,1,1
distance metrics,1,1
problem of finding,1,-1
taxonomy,1,1
software design,1,1
return type,1,-1
refactoring,1,-1
project selection,1,1
opinions of participants,1,-1
opensource projects,1,1
open source software projects,1,1
multiple case study,1,1
modeling,1,1
model code,1,1
manual abstraction,1,1
inaccuracy,1,-1
image formation,1,-1
technological tools,1,1
number of sentences,1,1
misclassification error,1,-1
meaning of the text,1,1
mailing lists,1,-1
linguistics,1,1
lexical units,1,1
frame elements,1,-1
empirical software engineering,1,1
correct frame,1,-1
bug reports,1,1
app reviews,1,-1
vector space model,1,1
unified modelling language diagrams,1,1
automated teller machines,1,-1
text file,1,1
software comprehension,1,1
set of stories,1,-1
regular expressions,1,-1
proper nouns,1,-1
partofspeech,1,-1
object oriented modeling,1,1
number of objects,1,-1
instrumental techniques,1,-1
hierarchical view,1,-1
feature location techniques,1,1
feature location,1,1
execution trace,1,1
case scenario,1,1
unified modelling language,1,1
rdf,1,1
query variables,1,-1
online resource,1,1
metadata,1,1
list of entities,1,-1
knowledge discovery,1,1
input graph,1,1
headquarters,1,-1
hashing,1,-1
hash function,1,-1
graph problems,1,1
exploratory search,1,1
city metaphor,1,-1
empirical evaluation,1,1
dbpedia,1,1
agents,1,1
usage scenarios,1,1
types of comments,1,-1
test samples,1,1
substantial margin,1,-1
sequence editing,1,1
seq2seq model,1,-1
rulebased methods,1,1
pretrained word embeddings,1,1
multiple sentences,1,1
edit distance,1,-1
entity pairs,1,-1
feature extraction,1,1
electrical maintenance,1,1
electric machines,1,1
electric machine,1,1
deep learning,1,1
dataset size,1,1
dataset bias,1,-1
correlation,1,0
context awareness,1,1
condition monitoring,1,1
computer aided engineering,1,1
causal analysis,1,-1
big data applications,1,1
resource description framework,1,-1
web pages,1,1
virtual assistant,1,1
user tasks,1,1
time complexity,1,-1
sparql query,1,1
sparql,1,-1
software agents,1,1
similarity query,1,1
similar queries,1,1
similar concepts,1,1
semantic web,1,1
search problems,1,1
resource description framework graph,1,-1
bert model,1,1
computing education,1,1
computer science education,1,1
trusted computing,1,1
systems security,1,1
security and privacy,1,1
operating systems security,1,1
domain specific languages,1,1
context specific languages,1,1
maintaining software,1,1
software version control,1,1
visualization techniques,1,1
natural language generation,1,1
lexical semantics,1,1
context vector,1,1
arts and humanities,1,-1
software design engineering,1,1
object oriented frameworks,1,1
designing software,1,1
traceability,1,-1
software verification and validation,1,1
software testing and debugging,1,1
software defect analysis,1,1
process validation,1,1
natural language processing techniques,1,1
code generation,1,1
comprehension ability,1,1
development frameworks and environments,1,1
language translation,1,1
computer bugs,1,1
compound words,1,1
comment updating,1,-1
codecomment coevolution,1,1
