authors,n_papers
Hanan Abdulwahab Siala,2
Wei Liu,2
Tingting Xu,2
Shanping Li,2
Meng Yan,2
Zhongxin Liu,2
Xin Xia,2
Ally S. Nyamawe,1
Andrea De Lucia,1
A. Karlis,1
Ade Azurat,1
Adrian Rutle,1
A. Alalawi,1
Arumoy Shome,1
Avijit Bhattacharjee,1
Banani Roy,1
Bin Luo,1
Bonaventura Galang Kristabel Angipanglipur Hatmasasmita,1
Cameron Miskell,1
Chuanyi Li,1
Chunyang Chen,1
D. Verginadis,1
Daniel Strüber,1
Andrea Di Sorbo,1
André L. Santos,1
Animesh Dutta,1
Arie van Deursen,1
Armin Bernstetter,1
Alexander Egyed,1
Fawzi Albalooshi,1
Fitzroy Nembhard,1
Gabriela K. Michelon,1
G. Falekas,1
Gail C. Murphy,1
Giovanni Viviani,1
Guangjie Li,1
Hanwei Qian,1
Harald König,1
Hayden Cheers,1
Heiko Bielfeldt,1
Hoang Dang,1
Hongzhou Fang,1
Hui Liu,1
Huitong Liu,1
Iulian Neamtiu,1
Ivan Polasek,1
J. A. Antonino-Daviu,1
Jason Lefever,1
Jidong Ge,1
Jie Zhu,1
Jing Xu,1
Jinyu Jiang,1
Juha Sorva,1
Junwu Zhu,1
Ketki Balde,1
Denys Poshyvanyk,1
Dur e Najaf Amjad,1
Eli Tilevich,1
F. Buzaid,1
Faisal Buzaid,1
Arthur Marques,1
Lile Lin,1
Liguo Huang,1
Lalji Prasad,1
Khaled Slhoub,1
Kevin Schneider,1
Kevin Lano,1
Malcom Gethers,1
Lukas Radosky,1
Mariana Curado Malta,1
Maya Retno Ayu Setyautami,1
Nan Jia,1
Oliver Savolainen,1
Parth Ganeriwala,1
Maliheh Izadi,1
M. Hammad,1
Luís Cruz,1
Rashmi Yadav,1
Priyam Tyagi,1
Rick Kazman,1
Regina Hebig,1
Rifqi Farel Muhammad,1
Rocco Oliveto,1
Roxana Petcu,1
Richard Diaz,1
Sebastiano Panichella,1
Shaomin Zhu,1
Silvia R. Vergilio,1
Sidong Feng,1
Syifa Afra Kamila Mumtaz,1
Preethi Santhanam,1
Malte Hansen,1
M. Hammed,1
Tom Kwasnitschka,1
Tim Kräuter,1
Teemu Lehtinen,1
Weiqi Sun,1
Wenbin Dai,1
Wenli Zhang,1
Wenqing Cheng,1
